date,realtime_end,realtime_start,value
1957-08-01,2019-09-15,2019-09-15,28.28
1957-09-01,2019-09-15,2019-09-15,28.32
1957-10-01,2019-09-15,2019-09-15,28.32
1957-11-01,2019-09-15,2019-09-15,28.41
1957-12-01,2019-09-15,2019-09-15,28.47
1958-01-01,2019-09-15,2019-09-15,28.64
1958-02-01,2019-09-15,2019-09-15,28.7
1958-03-01,2019-09-15,2019-09-15,28.87
1958-04-01,2019-09-15,2019-09-15,28.94
1958-05-01,2019-09-15,2019-09-15,28.94
1958-06-01,2019-09-15,2019-09-15,28.91
1958-07-01,2019-09-15,2019-09-15,28.89
1958-08-01,2019-09-15,2019-09-15,28.94
1958-09-01,2019-09-15,2019-09-15,28.91
1958-10-01,2019-09-15,2019-09-15,28.91
1958-11-01,2019-09-15,2019-09-15,28.95
1958-12-01,2019-09-15,2019-09-15,28.97
1959-01-01,2019-09-15,2019-09-15,29.01
1959-02-01,2019-09-15,2019-09-15,29.0
1959-03-01,2019-09-15,2019-09-15,28.97
1959-04-01,2019-09-15,2019-09-15,28.98
1959-05-01,2019-09-15,2019-09-15,29.04
1959-06-01,2019-09-15,2019-09-15,29.11
1959-07-01,2019-09-15,2019-09-15,29.15
1959-08-01,2019-09-15,2019-09-15,29.18
1959-09-01,2019-09-15,2019-09-15,29.25
1959-10-01,2019-09-15,2019-09-15,29.35
1959-11-01,2019-09-15,2019-09-15,29.35
1959-12-01,2019-09-15,2019-09-15,29.41
1960-01-01,2019-09-15,2019-09-15,29.37
1960-02-01,2019-09-15,2019-09-15,29.41
1960-03-01,2019-09-15,2019-09-15,29.41
1960-04-01,2019-09-15,2019-09-15,29.54
1960-05-01,2019-09-15,2019-09-15,29.57
1960-06-01,2019-09-15,2019-09-15,29.61
1960-07-01,2019-09-15,2019-09-15,29.55
1960-08-01,2019-09-15,2019-09-15,29.61
1960-09-01,2019-09-15,2019-09-15,29.61
1960-10-01,2019-09-15,2019-09-15,29.75
1960-11-01,2019-09-15,2019-09-15,29.78
1960-12-01,2019-09-15,2019-09-15,29.81
1961-01-01,2019-09-15,2019-09-15,29.84
1961-02-01,2019-09-15,2019-09-15,29.84
1961-03-01,2019-09-15,2019-09-15,29.84
1961-04-01,2019-09-15,2019-09-15,29.81
1961-05-01,2019-09-15,2019-09-15,29.84
1961-06-01,2019-09-15,2019-09-15,29.84
1961-07-01,2019-09-15,2019-09-15,29.92
1961-08-01,2019-09-15,2019-09-15,29.94
1961-09-01,2019-09-15,2019-09-15,29.98
1961-10-01,2019-09-15,2019-09-15,29.98
1961-11-01,2019-09-15,2019-09-15,29.98
1961-12-01,2019-09-15,2019-09-15,30.01
1962-01-01,2019-09-15,2019-09-15,30.04
1962-02-01,2019-09-15,2019-09-15,30.11
1962-03-01,2019-09-15,2019-09-15,30.17
1962-04-01,2019-09-15,2019-09-15,30.21
1962-05-01,2019-09-15,2019-09-15,30.24
1962-06-01,2019-09-15,2019-09-15,30.21
1962-07-01,2019-09-15,2019-09-15,30.22
1962-08-01,2019-09-15,2019-09-15,30.28
1962-09-01,2019-09-15,2019-09-15,30.42
1962-10-01,2019-09-15,2019-09-15,30.38
1962-11-01,2019-09-15,2019-09-15,30.38
1962-12-01,2019-09-15,2019-09-15,30.38
1963-01-01,2019-09-15,2019-09-15,30.44
1963-02-01,2019-09-15,2019-09-15,30.48
1963-03-01,2019-09-15,2019-09-15,30.51
1963-04-01,2019-09-15,2019-09-15,30.48
1963-05-01,2019-09-15,2019-09-15,30.51
1963-06-01,2019-09-15,2019-09-15,30.61
1963-07-01,2019-09-15,2019-09-15,30.69
1963-08-01,2019-09-15,2019-09-15,30.75
1963-09-01,2019-09-15,2019-09-15,30.72
1963-10-01,2019-09-15,2019-09-15,30.75
1963-11-01,2019-09-15,2019-09-15,30.78
1963-12-01,2019-09-15,2019-09-15,30.88
1964-01-01,2019-09-15,2019-09-15,30.94
1964-02-01,2019-09-15,2019-09-15,30.91
1964-03-01,2019-09-15,2019-09-15,30.94
1964-04-01,2019-09-15,2019-09-15,30.95
1964-05-01,2019-09-15,2019-09-15,30.98
1964-06-01,2019-09-15,2019-09-15,31.01
1964-07-01,2019-09-15,2019-09-15,31.02
1964-08-01,2019-09-15,2019-09-15,31.05
1964-09-01,2019-09-15,2019-09-15,31.08
1964-10-01,2019-09-15,2019-09-15,31.12
1964-11-01,2019-09-15,2019-09-15,31.21
1964-12-01,2019-09-15,2019-09-15,31.25
1965-01-01,2019-09-15,2019-09-15,31.28
1965-02-01,2019-09-15,2019-09-15,31.28
1965-03-01,2019-09-15,2019-09-15,31.31
1965-04-01,2019-09-15,2019-09-15,31.38
1965-05-01,2019-09-15,2019-09-15,31.48
1965-06-01,2019-09-15,2019-09-15,31.61
1965-07-01,2019-09-15,2019-09-15,31.58
1965-08-01,2019-09-15,2019-09-15,31.55
1965-09-01,2019-09-15,2019-09-15,31.62
1965-10-01,2019-09-15,2019-09-15,31.65
1965-11-01,2019-09-15,2019-09-15,31.75
1965-12-01,2019-09-15,2019-09-15,31.85
1966-01-01,2019-09-15,2019-09-15,31.88
1966-02-01,2019-09-15,2019-09-15,32.08
1966-03-01,2019-09-15,2019-09-15,32.18
1966-04-01,2019-09-15,2019-09-15,32.28
1966-05-01,2019-09-15,2019-09-15,32.35
1966-06-01,2019-09-15,2019-09-15,32.38
1966-07-01,2019-09-15,2019-09-15,32.45
1966-08-01,2019-09-15,2019-09-15,32.65
1966-09-01,2019-09-15,2019-09-15,32.75
1966-10-01,2019-09-15,2019-09-15,32.85
1966-11-01,2019-09-15,2019-09-15,32.88
1966-12-01,2019-09-15,2019-09-15,32.92
1967-01-01,2019-09-15,2019-09-15,32.9
1967-02-01,2019-09-15,2019-09-15,33.0
1967-03-01,2019-09-15,2019-09-15,33.0
1967-04-01,2019-09-15,2019-09-15,33.1
1967-05-01,2019-09-15,2019-09-15,33.1
1967-06-01,2019-09-15,2019-09-15,33.3
1967-07-01,2019-09-15,2019-09-15,33.4
1967-08-01,2019-09-15,2019-09-15,33.5
1967-09-01,2019-09-15,2019-09-15,33.6
