date,realtime_end,realtime_start,value
1967-12-01,2019-09-15,2019-09-15,67818.0
1968-01-01,2019-09-15,2019-09-15,67698.0
1968-02-01,2019-09-15,2019-09-15,67213.0
1968-03-01,2019-09-15,2019-09-15,67521.0
1968-04-01,2019-09-15,2019-09-15,67953.0
1968-05-01,2019-09-15,2019-09-15,68077.0
1968-06-01,2019-09-15,2019-09-15,68874.0
1968-07-01,2019-09-15,2019-09-15,69700.0
1968-08-01,2019-09-15,2019-09-15,69887.0
1968-09-01,2019-09-15,2019-09-15,70048.0
1968-10-01,2019-09-15,2019-09-15,70830.0
1968-11-01,2019-09-15,2019-09-15,71727.0
1968-12-01,2019-09-15,2019-09-15,73139.0
1969-01-01,2019-09-15,2019-09-15,72865.0
1969-02-01,2019-09-15,2019-09-15,71978.0
1969-03-01,2019-09-15,2019-09-15,71768.0
1969-04-01,2019-09-15,2019-09-15,72361.0
1969-05-01,2019-09-15,2019-09-15,73358.0
1969-06-01,2019-09-15,2019-09-15,73509.0
1969-07-01,2019-09-15,2019-09-15,73725.0
1969-08-01,2019-09-15,2019-09-15,73773.0
1969-09-01,2019-09-15,2019-09-15,73780.0
1969-10-01,2019-09-15,2019-09-15,74436.0
1969-11-01,2019-09-15,2019-09-15,75569.0
1969-12-01,2019-09-15,2019-09-15,76752.0
1970-01-01,2019-09-15,2019-09-15,76398.0
1970-02-01,2019-09-15,2019-09-15,75237.0
1970-03-01,2019-09-15,2019-09-15,75276.0
1970-04-01,2019-09-15,2019-09-15,76294.0
1970-05-01,2019-09-15,2019-09-15,76649.0
1970-06-01,2019-09-15,2019-09-15,76900.0
1970-07-01,2019-09-15,2019-09-15,77960.0
1970-08-01,2019-09-15,2019-09-15,78227.0
1970-09-01,2019-09-15,2019-09-15,78684.0
1970-10-01,2019-09-15,2019-09-15,78691.0
1970-11-01,2019-09-15,2019-09-15,79468.0
1970-12-01,2019-09-15,2019-09-15,80987.0
1971-01-01,2019-09-15,2019-09-15,81170.0
1971-02-01,2019-09-15,2019-09-15,80565.0
1971-03-01,2019-09-15,2019-09-15,80788.0
1971-04-01,2019-09-15,2019-09-15,81641.0
1971-05-01,2019-09-15,2019-09-15,82405.0
1971-06-01,2019-09-15,2019-09-15,82894.0
1971-07-01,2019-09-15,2019-09-15,84184.0
1971-08-01,2019-09-15,2019-09-15,84079.0
1971-09-01,2019-09-15,2019-09-15,84431.0
1971-10-01,2019-09-15,2019-09-15,84692.0
1971-11-01,2019-09-15,2019-09-15,85491.0
1971-12-01,2019-09-15,2019-09-15,86798.0
1972-01-01,2019-09-15,2019-09-15,87220.0
1972-02-01,2019-09-15,2019-09-15,86081.0
1972-03-01,2019-09-15,2019-09-15,86656.0
1972-04-01,2019-09-15,2019-09-15,87888.0
1972-05-01,2019-09-15,2019-09-15,88543.0
1972-06-01,2019-09-15,2019-09-15,88896.0
1972-07-01,2019-09-15,2019-09-15,90075.0
1972-08-01,2019-09-15,2019-09-15,90098.0
1972-09-01,2019-09-15,2019-09-15,90193.0
1972-10-01,2019-09-15,2019-09-15,91423.0
1972-11-01,2019-09-15,2019-09-15,90531.0
