date,realtime_end,realtime_start,value
1973-01-01,2019-09-14,2019-09-14,1377.49
1973-04-01,2019-09-14,2019-09-14,1413.8870000000002
1973-07-01,2019-09-14,2019-09-14,1433.838
1973-10-01,2019-09-14,2019-09-14,1476.289
1974-01-01,2019-09-14,2019-09-14,1491.2089999999998
1974-04-01,2019-09-14,2019-09-14,1530.056
1974-07-01,2019-09-14,2019-09-14,1560.026
1974-10-01,2019-09-14,2019-09-14,1599.6789999999999
1975-01-01,2019-09-14,2019-09-14,1616.116
1975-04-01,2019-09-14,2019-09-14,1651.8529999999998
1975-07-01,2019-09-14,2019-09-14,1709.82
1975-10-01,2019-09-14,2019-09-14,1761.8310000000001
1976-01-01,2019-09-14,2019-09-14,1820.487
1976-04-01,2019-09-14,2019-09-14,1852.332
1976-07-01,2019-09-14,2019-09-14,1886.558
1976-10-01,2019-09-14,2019-09-14,1934.273
1977-01-01,2019-09-14,2019-09-14,1988.648
1977-04-01,2019-09-14,2019-09-14,2055.909
1977-07-01,2019-09-14,2019-09-14,2118.473
1977-10-01,2019-09-14,2019-09-14,2164.27
1978-01-01,2019-09-14,2019-09-14,2202.76
1978-04-01,2019-09-14,2019-09-14,2331.633
1978-07-01,2019-09-14,2019-09-14,2395.053
1978-10-01,2019-09-14,2019-09-14,2476.949
1979-01-01,2019-09-14,2019-09-14,2526.61
1979-04-01,2019-09-14,2019-09-14,2591.2470000000003
1979-07-01,2019-09-14,2019-09-14,2667.565
1979-10-01,2019-09-14,2019-09-14,2723.883
1980-01-01,2019-09-14,2019-09-14,2789.842
1980-04-01,2019-09-14,2019-09-14,2797.3520000000003
1980-07-01,2019-09-14,2019-09-14,2856.4829999999997
1980-10-01,2019-09-14,2019-09-14,2985.5570000000002
1981-01-01,2019-09-14,2019-09-14,3124.2059999999997
1981-04-01,2019-09-14,2019-09-14,3162.532
1981-07-01,2019-09-14,2019-09-14,3260.6090000000004
1981-10-01,2019-09-14,2019-09-14,3280.8179999999998
1982-01-01,2019-09-14,2019-09-14,3274.302
1982-04-01,2019-09-14,2019-09-14,3331.972
1982-07-01,2019-09-14,2019-09-14,3366.322
1982-10-01,2019-09-14,2019-09-14,3402.5609999999997
1983-01-01,2019-09-14,2019-09-14,3473.413
1983-04-01,2019-09-14,2019-09-14,3578.848
1983-07-01,2019-09-14,2019-09-14,3689.179
1983-10-01,2019-09-14,2019-09-14,3794.7059999999997
1984-01-01,2019-09-14,2019-09-14,3908.054
1984-04-01,2019-09-14,2019-09-14,4009.6009999999997
1984-07-01,2019-09-14,2019-09-14,4084.25
1984-10-01,2019-09-14,2019-09-14,4148.5509999999995
1985-01-01,2019-09-14,2019-09-14,4230.168
1985-04-01,2019-09-14,2019-09-14,4294.887
1985-07-01,2019-09-14,2019-09-14,4386.773
1985-10-01,2019-09-14,2019-09-14,4444.094
1986-01-01,2019-09-14,2019-09-14,4507.894
1986-04-01,2019-09-14,2019-09-14,4545.34
1986-07-01,2019-09-14,2019-09-14,4607.669
1986-10-01,2019-09-14,2019-09-14,4657.627
1987-01-01,2019-09-14,2019-09-14,4722.156
1987-04-01,2019-09-14,2019-09-14,4806.16
1987-07-01,2019-09-14,2019-09-14,4884.555
1987-10-01,2019-09-14,2019-09-14,5007.994000000001
1988-01-01,2019-09-14,2019-09-14,5073.372
1988-04-01,2019-09-14,2019-09-14,5190.036
1988-07-01,2019-09-14,2019-09-14,5282.835
1988-10-01,2019-09-14,2019-09-14,5399.509
1989-01-01,2019-09-14,2019-09-14,5511.253000000001
1989-04-01,2019-09-14,2019-09-14,5612.463000000001
1989-07-01,2019-09-14,2019-09-14,5695.365
1989-10-01,2019-09-14,2019-09-14,5747.236999999999
1990-01-01,2019-09-14,2019-09-14,5872.701
1990-04-01,2019-09-14,2019-09-14,5960.028
1990-07-01,2019-09-14,2019-09-14,6015.116
1990-10-01,2019-09-14,2019-09-14,6004.733
1991-01-01,2019-09-14,2019-09-14,6035.178000000001
1991-04-01,2019-09-14,2019-09-14,6126.861999999999
1991-07-01,2019-09-14,2019-09-14,6205.937
1991-10-01,2019-09-14,2019-09-14,6264.54
1992-01-01,2019-09-14,2019-09-14,6363.102
1992-04-01,2019-09-14,2019-09-14,6470.763000000001
1992-07-01,2019-09-14,2019-09-14,6566.641
1992-10-01,2019-09-14,2019-09-14,6680.803000000001
1993-01-01,2019-09-14,2019-09-14,6729.459
1993-04-01,2019-09-14,2019-09-14,6808.939
1993-07-01,2019-09-14,2019-09-14,6882.098000000001
1993-10-01,2019-09-14,2019-09-14,7013.738
1994-01-01,2019-09-14,2019-09-14,7115.651999999999
1994-04-01,2019-09-14,2019-09-14,7246.931
1994-07-01,2019-09-14,2019-09-14,7331.075
1994-10-01,2019-09-14,2019-09-14,7455.2880000000005
1995-01-01,2019-09-14,2019-09-14,7522.289000000001
1995-04-01,2019-09-14,2019-09-14,7580.996999999999
1995-07-01,2019-09-14,2019-09-14,7683.125
1995-10-01,2019-09-14,2019-09-14,7772.585999999999
1996-01-01,2019-09-14,2019-09-14,7868.468000000001
1996-04-01,2019-09-14,2019-09-14,8032.84
1996-07-01,2019-09-14,2019-09-14,8131.408
1996-10-01,2019-09-14,2019-09-14,8259.771
1997-01-01,2019-09-14,2019-09-14,8362.655
1997-04-01,2019-09-14,2019-09-14,8518.825
1997-07-01,2019-09-14,2019-09-14,8662.823
1997-10-01,2019-09-14,2019-09-14,8765.907
1998-01-01,2019-09-14,2019-09-14,8866.48
1998-04-01,2019-09-14,2019-09-14,8969.699
1998-07-01,2019-09-14,2019-09-14,9121.097
1998-10-01,2019-09-14,2019-09-14,9293.991
1999-01-01,2019-09-14,2019-09-14,9417.264000000001
1999-04-01,2019-09-14,2019-09-14,9524.152
1999-07-01,2019-09-14,2019-09-14,9681.856
1999-10-01,2019-09-14,2019-09-14,9899.378
2000-01-01,2019-09-14,2019-09-14,10002.857
2000-04-01,2019-09-14,2019-09-14,10247.679
2000-07-01,2019-09-14,2019-09-14,10319.825
2000-10-01,2019-09-14,2019-09-14,10439.025
2001-01-01,2019-09-14,2019-09-14,10472.879
2001-04-01,2019-09-14,2019-09-14,10597.822
2001-07-01,2019-09-14,2019-09-14,10596.294
2001-10-01,2019-09-14,2019-09-14,10660.294
