date,realtime_end,realtime_start,value
1976-04-01,2019-09-14,2019-09-14,5932.710999999999
1976-07-01,2019-09-14,2019-09-14,5965.265
1976-10-01,2019-09-14,2019-09-14,6008.504
1977-01-01,2019-09-14,2019-09-14,6079.494000000001
1977-04-01,2019-09-14,2019-09-14,6197.686
1977-07-01,2019-09-14,2019-09-14,6309.514
1977-10-01,2019-09-14,2019-09-14,6309.651999999999
1978-01-01,2019-09-14,2019-09-14,6329.791
1978-04-01,2019-09-14,2019-09-14,6574.39
1978-07-01,2019-09-14,2019-09-14,6640.496999999999
1978-10-01,2019-09-14,2019-09-14,6729.755
1979-01-01,2019-09-14,2019-09-14,6741.854
1979-04-01,2019-09-14,2019-09-14,6749.063
1979-07-01,2019-09-14,2019-09-14,6799.2
1979-10-01,2019-09-14,2019-09-14,6816.203
1980-01-01,2019-09-14,2019-09-14,6837.641
1980-04-01,2019-09-14,2019-09-14,6696.753000000001
1980-07-01,2019-09-14,2019-09-14,6688.794
1980-10-01,2019-09-14,2019-09-14,6813.535
1981-01-01,2019-09-14,2019-09-14,6947.0419999999995
1981-04-01,2019-09-14,2019-09-14,6895.559
1981-07-01,2019-09-14,2019-09-14,6978.135
1981-10-01,2019-09-14,2019-09-14,6902.105
1982-01-01,2019-09-14,2019-09-14,6794.878000000001
1982-04-01,2019-09-14,2019-09-14,6825.876
1982-07-01,2019-09-14,2019-09-14,6799.781
1982-10-01,2019-09-14,2019-09-14,6802.496999999999
1983-01-01,2019-09-14,2019-09-14,6892.144
1983-04-01,2019-09-14,2019-09-14,7048.982
1983-07-01,2019-09-14,2019-09-14,7189.896
1983-10-01,2019-09-14,2019-09-14,7339.893
1984-01-01,2019-09-14,2019-09-14,7483.371
1984-04-01,2019-09-14,2019-09-14,7612.668000000001
1984-07-01,2019-09-14,2019-09-14,7686.059
1984-10-01,2019-09-14,2019-09-14,7749.151
1985-01-01,2019-09-14,2019-09-14,7824.246999999999
1985-04-01,2019-09-14,2019-09-14,7893.1359999999995
1985-07-01,2019-09-14,2019-09-14,8013.674
1985-10-01,2019-09-14,2019-09-14,8073.2390000000005
1986-01-01,2019-09-14,2019-09-14,8148.603
1986-04-01,2019-09-14,2019-09-14,8185.303000000001
1986-07-01,2019-09-14,2019-09-14,8263.639000000001
1986-10-01,2019-09-14,2019-09-14,8308.021
1987-01-01,2019-09-14,2019-09-14,8369.93
1987-04-01,2019-09-14,2019-09-14,8460.233
1987-07-01,2019-09-14,2019-09-14,8533.635
1987-10-01,2019-09-14,2019-09-14,8680.162
1988-01-01,2019-09-14,2019-09-14,8725.006
1988-04-01,2019-09-14,2019-09-14,8839.641
1988-07-01,2019-09-14,2019-09-14,8891.435
1988-10-01,2019-09-14,2019-09-14,9009.913
1989-01-01,2019-09-14,2019-09-14,9101.508
1989-04-01,2019-09-14,2019-09-14,9170.976999999999
1989-07-01,2019-09-14,2019-09-14,9238.923
1989-10-01,2019-09-14,2019-09-14,9257.128
1990-01-01,2019-09-14,2019-09-14,9358.289
1990-04-01,2019-09-14,2019-09-14,9392.251
1990-07-01,2019-09-14,2019-09-14,9398.499
1990-10-01,2019-09-14,2019-09-14,9312.937
1991-01-01,2019-09-14,2019-09-14,9269.367
1991-04-01,2019-09-14,2019-09-14,9341.642
1991-07-01,2019-09-14,2019-09-14,9388.845
1991-10-01,2019-09-14,2019-09-14,9421.565
1992-01-01,2019-09-14,2019-09-14,9534.346
1992-04-01,2019-09-14,2019-09-14,9637.732
1992-07-01,2019-09-14,2019-09-14,9732.979
1992-10-01,2019-09-14,2019-09-14,9834.51
1993-01-01,2019-09-14,2019-09-14,9850.973
1993-04-01,2019-09-14,2019-09-14,9908.347
1993-07-01,2019-09-14,2019-09-14,9955.641
1993-10-01,2019-09-14,2019-09-14,10091.049
1994-01-01,2019-09-14,2019-09-14,10188.954
1994-04-01,2019-09-14,2019-09-14,10327.019
1994-07-01,2019-09-14,2019-09-14,10387.382
1994-10-01,2019-09-14,2019-09-14,10506.372
1995-01-01,2019-09-14,2019-09-14,10543.643999999998
1995-04-01,2019-09-14,2019-09-14,10575.1
1995-07-01,2019-09-14,2019-09-14,10665.06
1995-10-01,2019-09-14,2019-09-14,10737.478000000001
1996-01-01,2019-09-14,2019-09-14,10817.896
1996-04-01,2019-09-14,2019-09-14,10998.322
1996-07-01,2019-09-14,2019-09-14,11096.976
1996-10-01,2019-09-14,2019-09-14,11212.205
1997-01-01,2019-09-14,2019-09-14,11284.587
1997-04-01,2019-09-14,2019-09-14,11472.136999999999
1997-07-01,2019-09-14,2019-09-14,11615.636
1997-10-01,2019-09-14,2019-09-14,11715.393
1998-01-01,2019-09-14,2019-09-14,11832.486
1998-04-01,2019-09-14,2019-09-14,11942.032
1998-07-01,2019-09-14,2019-09-14,12091.614
1998-10-01,2019-09-14,2019-09-14,12287.0
1999-01-01,2019-09-14,2019-09-14,12403.293
1999-04-01,2019-09-14,2019-09-14,12498.694
1999-07-01,2019-09-14,2019-09-14,12662.385
1999-10-01,2019-09-14,2019-09-14,12877.593
2000-01-01,2019-09-14,2019-09-14,12924.178999999998
2000-04-01,2019-09-14,2019-09-14,13160.841999999999
2000-07-01,2019-09-14,2019-09-14,13178.419
2000-10-01,2019-09-14,2019-09-14,13260.506000000001
2001-01-01,2019-09-14,2019-09-14,13222.69
2001-04-01,2019-09-14,2019-09-14,13299.983999999999
2001-07-01,2019-09-14,2019-09-14,13244.784
2001-10-01,2019-09-14,2019-09-14,13280.858999999999
2002-01-01,2019-09-14,2019-09-14,13397.002
2002-04-01,2019-09-14,2019-09-14,13478.152
2002-07-01,2019-09-14,2019-09-14,13538.072
2002-10-01,2019-09-14,2019-09-14,13559.032
2003-01-01,2019-09-14,2019-09-14,13634.253
2003-04-01,2019-09-14,2019-09-14,13751.543
2003-07-01,2019-09-14,2019-09-14,13985.073
2003-10-01,2019-09-14,2019-09-14,14145.645
2004-01-01,2019-09-14,2019-09-14,14221.146999999999
2004-04-01,2019-09-14,2019-09-14,14329.523000000001
2004-07-01,2019-09-14,2019-09-14,14464.983999999999
2004-10-01,2019-09-14,2019-09-14,14609.876
2005-01-01,2019-09-14,2019-09-14,14771.601999999999
2005-04-01,2019-09-14,2019-09-14,14839.782
2005-07-01,2019-09-14,2019-09-14,14972.053999999998
2005-10-01,2019-09-14,2019-09-14,15066.597
2006-01-01,2019-09-14,2019-09-14,15267.026000000002
2006-04-01,2019-09-14,2019-09-14,15302.705
2006-07-01,2019-09-14,2019-09-14,15326.368
2006-10-01,2019-09-14,2019-09-14,15456.928
2007-01-01,2019-09-14,2019-09-14,15493.328000000001
2007-04-01,2019-09-14,2019-09-14,15582.085
2007-07-01,2019-09-14,2019-09-14,15666.738000000001
2007-10-01,2019-09-14,2019-09-14,15761.966999999999
2008-01-01,2019-09-14,2019-09-14,15671.383
2008-04-01,2019-09-14,2019-09-14,15752.308
2008-07-01,2019-09-14,2019-09-14,15667.032
2008-10-01,2019-09-14,2019-09-14,15328.027
2009-01-01,2019-09-14,2019-09-14,15155.94
2009-04-01,2019-09-14,2019-09-14,15134.117
2009-07-01,2019-09-14,2019-09-14,15189.222
2009-10-01,2019-09-14,2019-09-14,15356.058
2010-01-01,2019-09-14,2019-09-14,15415.145
2010-04-01,2019-09-14,2019-09-14,15557.277
2010-07-01,2019-09-14,2019-09-14,15671.966999999999
2010-10-01,2019-09-14,2019-09-14,15750.625
2011-01-01,2019-09-14,2019-09-14,15712.753999999999
2011-04-01,2019-09-14,2019-09-14,15825.096000000001
2011-07-01,2019-09-14,2019-09-14,15820.7
2011-10-01,2019-09-14,2019-09-14,16004.107
2012-01-01,2019-09-14,2019-09-14,16129.418
2012-04-01,2019-09-14,2019-09-14,16198.806999999999
2012-07-01,2019-09-14,2019-09-14,16220.667
2012-10-01,2019-09-14,2019-09-14,16239.138
2013-01-01,2019-09-14,2019-09-14,16382.964
2013-04-01,2019-09-14,2019-09-14,16403.18
2013-07-01,2019-09-14,2019-09-14,16531.685
2013-10-01,2019-09-14,2019-09-14,16663.648999999998
2014-01-01,2019-09-14,2019-09-14,16616.54
2014-04-01,2019-09-14,2019-09-14,16841.475
2014-07-01,2019-09-14,2019-09-14,17047.098
2014-10-01,2019-09-14,2019-09-14,17143.038
2015-01-01,2019-09-14,2019-09-14,17277.58
2015-04-01,2019-09-14,2019-09-14,17405.668999999998
2015-07-01,2019-09-14,2019-09-14,17463.221999999998
2015-10-01,2019-09-14,2019-09-14,17468.902
2016-01-01,2019-09-14,2019-09-14,17556.839
2016-04-01,2019-09-14,2019-09-14,17639.417
2016-07-01,2019-09-14,2019-09-14,17735.074
2016-10-01,2019-09-14,2019-09-14,17824.231
2017-01-01,2019-09-14,2019-09-14,17925.256
2017-04-01,2019-09-14,2019-09-14,18021.048
2017-07-01,2019-09-14,2019-09-14,18163.558
2017-10-01,2019-09-14,2019-09-14,18322.464
2018-01-01,2019-09-14,2019-09-14,18438.254
2018-04-01,2019-09-14,2019-09-14,18598.135
2018-07-01,2019-09-14,2019-09-14,18732.72
2018-10-01,2019-09-14,2019-09-14,18783.548
2019-01-01,2019-09-14,2019-09-14,18927.281000000003
2019-04-01,2019-09-14,2019-09-14,19023.022
