date,realtime_end,realtime_start,value
1978-07-19,2019-09-15,2019-09-15,
1978-07-20,2019-09-15,2019-09-15,
1978-07-21,2019-09-15,2019-09-15,
1978-07-24,2019-09-15,2019-09-15,
1978-07-25,2019-09-15,2019-09-15,
1978-07-26,2019-09-15,2019-09-15,
1978-07-27,2019-09-15,2019-09-15,
1978-07-28,2019-09-15,2019-09-15,
1978-07-31,2019-09-15,2019-09-15,112.16
1978-08-01,2019-09-15,2019-09-15,
1978-08-02,2019-09-15,2019-09-15,
1978-08-03,2019-09-15,2019-09-15,
1978-08-04,2019-09-15,2019-09-15,
1978-08-07,2019-09-15,2019-09-15,
1978-08-08,2019-09-15,2019-09-15,
1978-08-09,2019-09-15,2019-09-15,
1978-08-10,2019-09-15,2019-09-15,
1978-08-11,2019-09-15,2019-09-15,
1978-08-14,2019-09-15,2019-09-15,
1978-08-15,2019-09-15,2019-09-15,
1978-08-16,2019-09-15,2019-09-15,
1978-08-17,2019-09-15,2019-09-15,
1978-08-18,2019-09-15,2019-09-15,
1978-08-21,2019-09-15,2019-09-15,
1978-08-22,2019-09-15,2019-09-15,
1978-08-23,2019-09-15,2019-09-15,
1978-08-24,2019-09-15,2019-09-15,
1978-08-25,2019-09-15,2019-09-15,
1978-08-28,2019-09-15,2019-09-15,
1978-08-29,2019-09-15,2019-09-15,
1978-08-30,2019-09-15,2019-09-15,
1978-08-31,2019-09-15,2019-09-15,121.13
1978-09-01,2019-09-15,2019-09-15,
1978-09-04,2019-09-15,2019-09-15,
1978-09-05,2019-09-15,2019-09-15,
1978-09-06,2019-09-15,2019-09-15,
1978-09-07,2019-09-15,2019-09-15,
1978-09-08,2019-09-15,2019-09-15,
1978-09-11,2019-09-15,2019-09-15,
1978-09-12,2019-09-15,2019-09-15,
1978-09-13,2019-09-15,2019-09-15,
1978-09-14,2019-09-15,2019-09-15,
1978-09-15,2019-09-15,2019-09-15,
1978-09-18,2019-09-15,2019-09-15,
1978-09-19,2019-09-15,2019-09-15,
1978-09-20,2019-09-15,2019-09-15,
1978-09-21,2019-09-15,2019-09-15,
1978-09-22,2019-09-15,2019-09-15,
1978-09-25,2019-09-15,2019-09-15,
1978-09-26,2019-09-15,2019-09-15,
1978-09-27,2019-09-15,2019-09-15,
1978-09-28,2019-09-15,2019-09-15,
1978-09-29,2019-09-15,2019-09-15,122.23
1978-10-02,2019-09-15,2019-09-15,
1978-10-03,2019-09-15,2019-09-15,
1978-10-04,2019-09-15,2019-09-15,
1978-10-05,2019-09-15,2019-09-15,
1978-10-06,2019-09-15,2019-09-15,
1978-10-09,2019-09-15,2019-09-15,
1978-10-10,2019-09-15,2019-09-15,
1978-10-11,2019-09-15,2019-09-15,
1978-10-12,2019-09-15,2019-09-15,
1978-10-13,2019-09-15,2019-09-15,
1978-10-16,2019-09-15,2019-09-15,
1978-10-17,2019-09-15,2019-09-15,
1978-10-18,2019-09-15,2019-09-15,
1978-10-19,2019-09-15,2019-09-15,
1978-10-20,2019-09-15,2019-09-15,
1978-10-23,2019-09-15,2019-09-15,
1978-10-24,2019-09-15,2019-09-15,
1978-10-25,2019-09-15,2019-09-15,
1978-10-26,2019-09-15,2019-09-15,
1978-10-27,2019-09-15,2019-09-15,
1978-10-30,2019-09-15,2019-09-15,
1978-10-31,2019-09-15,2019-09-15,103.51
1978-11-01,2019-09-15,2019-09-15,
1978-11-02,2019-09-15,2019-09-15,
1978-11-03,2019-09-15,2019-09-15,
1978-11-06,2019-09-15,2019-09-15,
1978-11-07,2019-09-15,2019-09-15,
1978-11-08,2019-09-15,2019-09-15,
1978-11-09,2019-09-15,2019-09-15,
1978-11-10,2019-09-15,2019-09-15,
1978-11-13,2019-09-15,2019-09-15,
1978-11-14,2019-09-15,2019-09-15,
1978-11-15,2019-09-15,2019-09-15,
1978-11-16,2019-09-15,2019-09-15,
1978-11-17,2019-09-15,2019-09-15,
1978-11-20,2019-09-15,2019-09-15,
1978-11-21,2019-09-15,2019-09-15,
1978-11-22,2019-09-15,2019-09-15,
1978-11-23,2019-09-15,2019-09-15,
1978-11-24,2019-09-15,2019-09-15,
1978-11-27,2019-09-15,2019-09-15,
1978-11-28,2019-09-15,2019-09-15,
1978-11-29,2019-09-15,2019-09-15,
1978-11-30,2019-09-15,2019-09-15,107.16
1978-12-01,2019-09-15,2019-09-15,
1978-12-04,2019-09-15,2019-09-15,
1978-12-05,2019-09-15,2019-09-15,
1978-12-06,2019-09-15,2019-09-15,
1978-12-07,2019-09-15,2019-09-15,
1978-12-08,2019-09-15,2019-09-15,
1978-12-11,2019-09-15,2019-09-15,
1978-12-12,2019-09-15,2019-09-15,
1978-12-13,2019-09-15,2019-09-15,
1978-12-14,2019-09-15,2019-09-15,
1978-12-15,2019-09-15,2019-09-15,
1978-12-18,2019-09-15,2019-09-15,
1978-12-19,2019-09-15,2019-09-15,
1978-12-20,2019-09-15,2019-09-15,
1978-12-21,2019-09-15,2019-09-15,
1978-12-22,2019-09-15,2019-09-15,
1978-12-25,2019-09-15,2019-09-15,
1978-12-26,2019-09-15,2019-09-15,
1978-12-27,2019-09-15,2019-09-15,
1978-12-28,2019-09-15,2019-09-15,
1978-12-29,2019-09-15,2019-09-15,110.98
1979-01-01,2019-09-15,2019-09-15,
1979-01-02,2019-09-15,2019-09-15,
1979-01-03,2019-09-15,2019-09-15,
1979-01-04,2019-09-15,2019-09-15,
1979-01-05,2019-09-15,2019-09-15,
1979-01-08,2019-09-15,2019-09-15,
1979-01-09,2019-09-15,2019-09-15,
1979-01-10,2019-09-15,2019-09-15,
1979-01-11,2019-09-15,2019-09-15,
1979-01-12,2019-09-15,2019-09-15,
1979-01-15,2019-09-15,2019-09-15,
1979-01-16,2019-09-15,2019-09-15,
1979-01-17,2019-09-15,2019-09-15,
1979-01-18,2019-09-15,2019-09-15,
1979-01-19,2019-09-15,2019-09-15,
1979-01-22,2019-09-15,2019-09-15,
1979-01-23,2019-09-15,2019-09-15,
1979-01-24,2019-09-15,2019-09-15,
1979-01-25,2019-09-15,2019-09-15,
1979-01-26,2019-09-15,2019-09-15,
1979-01-29,2019-09-15,2019-09-15,
1979-01-30,2019-09-15,2019-09-15,
1979-01-31,2019-09-15,2019-09-15,118.42
1979-02-01,2019-09-15,2019-09-15,
1979-02-02,2019-09-15,2019-09-15,
1979-02-05,2019-09-15,2019-09-15,
1979-02-06,2019-09-15,2019-09-15,
1979-02-07,2019-09-15,2019-09-15,
1979-02-08,2019-09-15,2019-09-15,
1979-02-09,2019-09-15,2019-09-15,
1979-02-12,2019-09-15,2019-09-15,
1979-02-13,2019-09-15,2019-09-15,
1979-02-14,2019-09-15,2019-09-15,
1979-02-15,2019-09-15,2019-09-15,
1979-02-16,2019-09-15,2019-09-15,
1979-02-19,2019-09-15,2019-09-15,
1979-02-20,2019-09-15,2019-09-15,
1979-02-21,2019-09-15,2019-09-15,
1979-02-22,2019-09-15,2019-09-15,
1979-02-23,2019-09-15,2019-09-15,
1979-02-26,2019-09-15,2019-09-15,
1979-02-27,2019-09-15,2019-09-15,
1979-02-28,2019-09-15,2019-09-15,118.3
1979-03-01,2019-09-15,2019-09-15,
1979-03-02,2019-09-15,2019-09-15,
1979-03-05,2019-09-15,2019-09-15,
1979-03-06,2019-09-15,2019-09-15,
1979-03-07,2019-09-15,2019-09-15,
1979-03-08,2019-09-15,2019-09-15,
1979-03-09,2019-09-15,2019-09-15,
1979-03-12,2019-09-15,2019-09-15,
1979-03-13,2019-09-15,2019-09-15,
1979-03-14,2019-09-15,2019-09-15,
1979-03-15,2019-09-15,2019-09-15,
1979-03-16,2019-09-15,2019-09-15,
1979-03-19,2019-09-15,2019-09-15,
1979-03-20,2019-09-15,2019-09-15,
1979-03-21,2019-09-15,2019-09-15,
1979-03-22,2019-09-15,2019-09-15,
1979-03-23,2019-09-15,2019-09-15,
1979-03-26,2019-09-15,2019-09-15,
1979-03-27,2019-09-15,2019-09-15,
1979-03-28,2019-09-15,2019-09-15,
1979-03-29,2019-09-15,2019-09-15,
1979-03-30,2019-09-15,2019-09-15,134.28
1979-04-02,2019-09-15,2019-09-15,
1979-04-03,2019-09-15,2019-09-15,
1979-04-04,2019-09-15,2019-09-15,
1979-04-05,2019-09-15,2019-09-15,
1979-04-06,2019-09-15,2019-09-15,
1979-04-09,2019-09-15,2019-09-15,
1979-04-10,2019-09-15,2019-09-15,
1979-04-11,2019-09-15,2019-09-15,
1979-04-12,2019-09-15,2019-09-15,
1979-04-13,2019-09-15,2019-09-15,
1979-04-16,2019-09-15,2019-09-15,
1979-04-17,2019-09-15,2019-09-15,
1979-04-18,2019-09-15,2019-09-15,
1979-04-19,2019-09-15,2019-09-15,
1979-04-20,2019-09-15,2019-09-15,
1979-04-23,2019-09-15,2019-09-15,
1979-04-24,2019-09-15,2019-09-15,
1979-04-25,2019-09-15,2019-09-15,
1979-04-26,2019-09-15,2019-09-15,
1979-04-27,2019-09-15,2019-09-15,
1979-04-30,2019-09-15,2019-09-15,135.71
1979-05-01,2019-09-15,2019-09-15,
1979-05-02,2019-09-15,2019-09-15,
1979-05-03,2019-09-15,2019-09-15,
1979-05-04,2019-09-15,2019-09-15,
1979-05-07,2019-09-15,2019-09-15,
1979-05-08,2019-09-15,2019-09-15,
1979-05-09,2019-09-15,2019-09-15,
1979-05-10,2019-09-15,2019-09-15,
1979-05-11,2019-09-15,2019-09-15,
1979-05-14,2019-09-15,2019-09-15,
1979-05-15,2019-09-15,2019-09-15,
1979-05-16,2019-09-15,2019-09-15,
1979-05-17,2019-09-15,2019-09-15,
1979-05-18,2019-09-15,2019-09-15,
1979-05-21,2019-09-15,2019-09-15,
1979-05-22,2019-09-15,2019-09-15,
1979-05-23,2019-09-15,2019-09-15,
1979-05-24,2019-09-15,2019-09-15,
1979-05-25,2019-09-15,2019-09-15,
1979-05-28,2019-09-15,2019-09-15,
1979-05-29,2019-09-15,2019-09-15,
1979-05-30,2019-09-15,2019-09-15,
1979-05-31,2019-09-15,2019-09-15,140.09
1979-06-01,2019-09-15,2019-09-15,
1979-06-04,2019-09-15,2019-09-15,
1979-06-05,2019-09-15,2019-09-15,
1979-06-06,2019-09-15,2019-09-15,
1979-06-07,2019-09-15,2019-09-15,
1979-06-08,2019-09-15,2019-09-15,
1979-06-11,2019-09-15,2019-09-15,
1979-06-12,2019-09-15,2019-09-15,
1979-06-13,2019-09-15,2019-09-15,
1979-06-14,2019-09-15,2019-09-15,
1979-06-15,2019-09-15,2019-09-15,
1979-06-18,2019-09-15,2019-09-15,
1979-06-19,2019-09-15,2019-09-15,
1979-06-20,2019-09-15,2019-09-15,
1979-06-21,2019-09-15,2019-09-15,
1979-06-22,2019-09-15,2019-09-15,
1979-06-25,2019-09-15,2019-09-15,
1979-06-26,2019-09-15,2019-09-15,
1979-06-27,2019-09-15,2019-09-15,
1979-06-28,2019-09-15,2019-09-15,
1979-06-29,2019-09-15,2019-09-15,147.6
1979-07-02,2019-09-15,2019-09-15,
1979-07-03,2019-09-15,2019-09-15,
1979-07-04,2019-09-15,2019-09-15,
1979-07-05,2019-09-15,2019-09-15,
1979-07-06,2019-09-15,2019-09-15,
1979-07-09,2019-09-15,2019-09-15,
1979-07-10,2019-09-15,2019-09-15,
1979-07-11,2019-09-15,2019-09-15,
1979-07-12,2019-09-15,2019-09-15,
1979-07-13,2019-09-15,2019-09-15,
1979-07-16,2019-09-15,2019-09-15,
1979-07-17,2019-09-15,2019-09-15,
1979-07-18,2019-09-15,2019-09-15,
1979-07-19,2019-09-15,2019-09-15,
1979-07-20,2019-09-15,2019-09-15,
1979-07-23,2019-09-15,2019-09-15,
1979-07-24,2019-09-15,2019-09-15,
1979-07-25,2019-09-15,2019-09-15,
1979-07-26,2019-09-15,2019-09-15,
1979-07-27,2019-09-15,2019-09-15,
1979-07-30,2019-09-15,2019-09-15,
1979-07-31,2019-09-15,2019-09-15,152.37
1979-08-01,2019-09-15,2019-09-15,
1979-08-02,2019-09-15,2019-09-15,
1979-08-03,2019-09-15,2019-09-15,
1979-08-06,2019-09-15,2019-09-15,
1979-08-07,2019-09-15,2019-09-15,
1979-08-08,2019-09-15,2019-09-15,
1979-08-09,2019-09-15,2019-09-15,
1979-08-10,2019-09-15,2019-09-15,
1979-08-13,2019-09-15,2019-09-15,
1979-08-14,2019-09-15,2019-09-15,
1979-08-15,2019-09-15,2019-09-15,
1979-08-16,2019-09-15,2019-09-15,
1979-08-17,2019-09-15,2019-09-15,
1979-08-20,2019-09-15,2019-09-15,
1979-08-21,2019-09-15,2019-09-15,
1979-08-22,2019-09-15,2019-09-15,
1979-08-23,2019-09-15,2019-09-15,
1979-08-24,2019-09-15,2019-09-15,
1979-08-27,2019-09-15,2019-09-15,
1979-08-28,2019-09-15,2019-09-15,
1979-08-29,2019-09-15,2019-09-15,
1979-08-30,2019-09-15,2019-09-15,
1979-08-31,2019-09-15,2019-09-15,173.03
1979-09-03,2019-09-15,2019-09-15,
1979-09-04,2019-09-15,2019-09-15,
1979-09-05,2019-09-15,2019-09-15,
1979-09-06,2019-09-15,2019-09-15,
1979-09-07,2019-09-15,2019-09-15,
1979-09-10,2019-09-15,2019-09-15,
1979-09-11,2019-09-15,2019-09-15,
1979-09-12,2019-09-15,2019-09-15,
1979-09-13,2019-09-15,2019-09-15,
1979-09-14,2019-09-15,2019-09-15,
1979-09-17,2019-09-15,2019-09-15,
1979-09-18,2019-09-15,2019-09-15,
1979-09-19,2019-09-15,2019-09-15,
1979-09-20,2019-09-15,2019-09-15,
1979-09-21,2019-09-15,2019-09-15,
1979-09-24,2019-09-15,2019-09-15,
1979-09-25,2019-09-15,2019-09-15,
1979-09-26,2019-09-15,2019-09-15,
1979-09-27,2019-09-15,2019-09-15,
1979-09-28,2019-09-15,2019-09-15,169.08
1979-10-01,2019-09-15,2019-09-15,
1979-10-02,2019-09-15,2019-09-15,
1979-10-03,2019-09-15,2019-09-15,
1979-10-04,2019-09-15,2019-09-15,
1979-10-05,2019-09-15,2019-09-15,
1979-10-08,2019-09-15,2019-09-15,
1979-10-09,2019-09-15,2019-09-15,
1979-10-10,2019-09-15,2019-09-15,
1979-10-11,2019-09-15,2019-09-15,
1979-10-12,2019-09-15,2019-09-15,
1979-10-15,2019-09-15,2019-09-15,
1979-10-16,2019-09-15,2019-09-15,
1979-10-17,2019-09-15,2019-09-15,
1979-10-18,2019-09-15,2019-09-15,
1979-10-19,2019-09-15,2019-09-15,
1979-10-22,2019-09-15,2019-09-15,
1979-10-23,2019-09-15,2019-09-15,
1979-10-24,2019-09-15,2019-09-15,
1979-10-25,2019-09-15,2019-09-15,
1979-10-26,2019-09-15,2019-09-15,
1979-10-29,2019-09-15,2019-09-15,
1979-10-30,2019-09-15,2019-09-15,
1979-10-31,2019-09-15,2019-09-15,151.67
1979-11-01,2019-09-15,2019-09-15,
1979-11-02,2019-09-15,2019-09-15,
1979-11-05,2019-09-15,2019-09-15,
1979-11-06,2019-09-15,2019-09-15,
1979-11-07,2019-09-15,2019-09-15,
1979-11-08,2019-09-15,2019-09-15,
1979-11-09,2019-09-15,2019-09-15,
1979-11-12,2019-09-15,2019-09-15,
1979-11-13,2019-09-15,2019-09-15,
1979-11-14,2019-09-15,2019-09-15,
1979-11-15,2019-09-15,2019-09-15,
1979-11-16,2019-09-15,2019-09-15,
1979-11-19,2019-09-15,2019-09-15,
1979-11-20,2019-09-15,2019-09-15,
1979-11-21,2019-09-15,2019-09-15,
1979-11-22,2019-09-15,2019-09-15,
1979-11-23,2019-09-15,2019-09-15,
1979-11-26,2019-09-15,2019-09-15,
1979-11-27,2019-09-15,2019-09-15,
1979-11-28,2019-09-15,2019-09-15,
1979-11-29,2019-09-15,2019-09-15,
1979-11-30,2019-09-15,2019-09-15,157.57
1979-12-03,2019-09-15,2019-09-15,
