rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
1,"(25, 20, 10)",9,139,80,16,14,10,28.73,0.56,6.59,189.33,-0.37
1,"(25, 20, 10)",9,139,80,16,16,10,28.55,0.55,6.55,187.0,-0.36
1,"(25, 20, 10)",9,139,80,16,10,10,28.22,0.55,6.47,182.58,-0.36
1,"(25, 20, 10)",9,139,80,16,10,4,25.26,0.53,7.06,178.34,-0.31
1,"(25, 20, 10)",9,139,80,16,10,9,27.36,0.55,6.48,177.29,-0.39
1,"(25, 20, 10)",9,139,80,16,13,10,27.32,0.55,6.42,175.39,-0.37
1,"(25, 20, 10)",9,139,80,16,10,7,25.81,0.53,6.51,168.02,-0.39
1,"(25, 20, 10)",9,139,80,16,14,8,25.45,0.53,6.47,164.66,-0.36
1,"(25, 20, 10)",9,139,80,16,11,10,25.83,0.53,6.31,162.99,-0.35
1,"(25, 20, 10)",9,139,80,16,10,8,25.66,0.53,6.33,162.43,-0.38
1,"(25, 20, 10)",9,139,80,16,12,10,24.79,0.53,6.24,154.69,-0.36
1,"(25, 20, 10)",9,139,80,16,16,7,23.97,0.52,6.45,154.61,-0.39
1,"(25, 20, 10)",9,139,80,16,15,10,24.38,0.52,6.28,153.11,-0.36
1,"(25, 20, 10)",9,139,80,16,9,7,24.12,0.52,6.33,152.68,-0.39
1,"(25, 20, 10)",9,139,80,16,7,7,23.07,0.51,6.22,143.5,-0.39
1,"(25, 20, 10)",9,139,80,16,16,5,21.98,0.5,6.5,142.87,-0.36
1,"(25, 20, 10)",9,139,80,16,14,9,21.95,0.5,6.23,136.75,-0.39
1,"(25, 20, 10)",9,139,80,16,16,9,22.01,0.5,6.2,136.46,-0.39
1,"(25, 20, 10)",9,139,80,16,10,5,20.22,0.49,6.73,136.08,-0.34
1,"(25, 20, 10)",9,139,80,16,9,5,20.17,0.49,6.62,133.53,-0.34
1,"(25, 20, 10)",9,139,80,16,10,6,21.24,0.5,6.25,132.75,-0.36
1,"(25, 20, 10)",9,139,80,16,5,5,19.76,0.48,6.6,130.42,-0.34
1,"(25, 20, 10)",9,139,80,16,16,11,19.92,0.49,6.0,119.52,-0.4
1,"(25, 20, 10)",9,139,80,16,10,3,17.72,0.46,6.6,116.95,-0.3
1,"(25, 20, 10)",9,139,80,16,11,7,19.66,0.48,5.94,116.78,-0.4
1,"(25, 20, 10)",9,139,80,16,10,2,18.43,0.47,6.29,115.92,-0.29
1,"(25, 20, 10)",9,139,80,16,13,7,19.36,0.48,5.96,115.39,-0.42
1,"(25, 20, 10)",9,139,80,16,14,7,18.07,0.47,6.0,108.42,-0.42
1,"(25, 20, 10)",9,139,80,16,14,11,18.21,0.47,5.87,106.89,-0.4
1,"(25, 20, 10)",9,139,80,16,15,7,17.92,0.47,5.89,105.55,-0.44
1,"(25, 20, 10)",9,139,80,16,13,5,16.4,0.45,6.22,102.01,-0.38
1,"(25, 20, 10)",9,139,80,16,16,3,14.6,0.43,6.04,88.18,-0.31
1,"(25, 20, 10)",9,139,80,16,14,12,15.96,0.45,5.52,88.1,-0.43
1,"(25, 20, 10)",9,139,80,16,16,1,13.99,0.42,5.98,83.66,-0.35
1,"(25, 20, 10)",9,139,80,16,16,13,14.57,0.43,5.51,80.28,-0.42
1,"(25, 20, 10)",9,139,80,16,14,13,13.85,0.42,5.4,74.79,-0.42
