rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
1,"(25, 20, 1)",9,139,80,34,16,8,513.28,1.26,5.91,3033.48,-0.73
1,"(25, 20, 3)",9,139,80,34,16,8,175.45,0.96,7.17,1257.98,-0.52
1,"(25, 20, 4)",9,139,80,34,16,8,110.91,0.85,7.29,808.53,-0.49
1,"(25, 20, 5)",9,139,80,34,16,8,87.34,0.79,7.26,634.09,-0.45
1,"(25, 20, 5)",10,139,80,34,16,8,87.34,0.79,7.26,634.09,-0.45
1,"(25, 20, 5)",8,139,80,34,16,8,87.34,0.79,7.26,634.09,-0.45
1,"(25, 20, 5)",7,139,80,34,16,8,87.34,0.79,7.26,634.09,-0.45
1,"(25, 20, 5)",11,139,80,34,16,8,87.34,0.79,7.26,634.09,-0.45
1,"(25, 20, 2)",9,139,80,34,16,8,100.6,0.83,6.06,609.64,-0.62
1,"(25, 20, 5)",3,139,80,34,16,8,79.98,0.77,7.13,570.26,-0.45
1,"(25, 20, 5)",4,139,80,34,16,8,75.82,0.76,7.07,536.05,-0.45
1,"(25, 20, 5)",5,139,80,34,16,8,75.82,0.76,7.07,536.05,-0.45
1,"(25, 20, 5)",6,139,80,34,16,8,75.82,0.76,7.07,536.05,-0.45
1,"(25, 20, 5)",1,139,80,34,16,8,71.11,0.75,6.96,494.93,-0.45
1,"(25, 20, 5)",2,139,80,34,16,8,71.11,0.75,6.96,494.93,-0.45
1,"(25, 20, 6)",9,139,80,34,16,8,65.17,0.73,7.13,464.66,-0.43
1,"(25, 20, 7)",9,139,80,34,16,8,55.42,0.69,7.19,398.47,-0.46
1,"(25, 20, 5)",12,139,80,34,16,8,57.6,0.7,6.84,393.98,-0.45
1,"(25, 20, 5)",13,139,80,34,16,8,52.4,0.68,6.7,351.08,-0.45
1,"(25, 20, 5)",15,139,80,34,16,8,48.76,0.66,6.58,320.84,-0.49
1,"(25, 20, 5)",17,139,80,34,16,8,48.76,0.66,6.58,320.84,-0.49
1,"(25, 20, 5)",16,139,80,34,16,8,48.76,0.66,6.58,320.84,-0.49
1,"(25, 20, 5)",14,139,80,34,16,8,48.76,0.66,6.58,320.84,-0.49
1,"(25, 20, 5)",29,139,80,34,16,8,46.88,0.66,6.54,306.6,-0.45
1,"(25, 20, 8)",9,139,80,34,16,8,44.48,0.64,6.89,306.47,-0.43
1,"(25, 20, 5)",19,139,80,34,16,8,44.43,0.64,6.44,286.13,-0.49
1,"(25, 20, 5)",21,139,80,34,16,8,44.43,0.64,6.44,286.13,-0.49
1,"(25, 20, 5)",25,139,80,34,16,8,43.61,0.64,6.42,279.98,-0.49
1,"(25, 20, 9)",9,139,80,34,16,8,36.76,0.6,6.84,251.44,-0.41
1,"(25, 20, 5)",23,139,80,34,16,8,39.73,0.62,6.28,249.5,-0.49
1,"(25, 20, 10)",9,139,80,34,16,8,29.96,0.56,6.73,201.63,-0.38
1,"(25, 20, 11)",9,139,80,34,16,8,24.46,0.52,6.62,161.93,-0.4
1,"(25, 20, 13)",9,139,80,34,16,8,16.95,0.46,6.14,104.07,-0.39
1,"(25, 20, 15)",9,139,80,34,16,8,11.09,0.38,5.48,60.77,-0.38
1,"(25, 20, 17)",9,139,80,34,16,8,9.1,0.35,5.29,48.14,-0.36
