rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
6,"(25, 20, 10)",2,139,16,34,21,10,5.35,0.16,4.84,25.89,-0.23
6,"(25, 20, 10)",2,139,15,34,21,10,5.1,0.15,4.72,24.07,-0.22
6,"(25, 20, 10)",2,139,17,34,21,10,5.09,0.15,4.67,23.77,-0.24
6,"(25, 20, 10)",2,139,13,34,21,10,4.76,0.15,4.85,23.09,-0.22
6,"(25, 20, 10)",2,139,27,34,21,10,5.2,0.15,4.39,22.83,-0.25
6,"(25, 20, 10)",2,139,19,34,21,10,5.0,0.15,4.55,22.75,-0.24
6,"(25, 20, 10)",2,139,28,34,21,10,5.06,0.15,4.33,21.91,-0.25
6,"(25, 20, 10)",2,139,29,34,21,10,4.95,0.15,4.26,21.09,-0.25
6,"(25, 20, 10)",2,139,21,34,21,10,4.68,0.15,4.25,19.89,-0.26
6,"(25, 20, 10)",2,139,23,34,21,10,4.7,0.15,4.22,19.83,-0.26
6,"(25, 20, 10)",2,139,25,34,21,10,4.69,0.15,4.21,19.74,-0.26
6,"(25, 20, 10)",2,139,22,34,21,10,4.66,0.15,4.21,19.62,-0.26
6,"(25, 20, 10)",2,139,10,34,21,10,3.9,0.13,4.79,18.68,-0.17
6,"(25, 20, 10)",2,139,37,34,21,10,4.53,0.14,4.1,18.57,-0.27
6,"(25, 20, 10)",2,139,31,34,21,10,4.52,0.14,4.06,18.35,-0.27
6,"(25, 20, 10)",2,139,33,34,21,10,4.47,0.14,4.06,18.15,-0.26
6,"(25, 20, 10)",2,139,34,34,21,10,4.46,0.14,4.06,18.11,-0.25
6,"(25, 20, 10)",2,139,11,34,21,10,3.88,0.13,4.66,18.08,-0.19
6,"(25, 20, 10)",2,139,9,34,21,10,2.81,0.11,4.36,12.25,-0.15
6,"(25, 20, 10)",2,139,7,34,21,10,1.76,0.08,3.68,6.48,-0.24
6,"(25, 20, 10)",2,139,5,34,21,10,0.85,0.05,2.7,2.3,-0.23
6,"(25, 20, 10)",2,139,4,34,21,10,0.45,0.03,1.95,0.88,-0.21
6,"(25, 20, 10)",2,139,1,34,21,10,-0.13,-0.01,-1.04,0.14,-0.2
