rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
6,"(25, 20, 5)",2,139,80,34,21,10,14.22,0.42,7.28,103.52,-0.23
6,"(25, 20, 5)",2,139,80,34,19,10,13.63,0.41,7.25,98.82,-0.23
6,"(25, 20, 5)",2,139,80,44,21,10,12.89,0.4,7.32,94.35,-0.23
6,"(25, 20, 4)",2,139,80,34,21,10,13.75,0.41,6.73,92.54,-0.28
6,"(25, 20, 3)",2,139,80,34,21,10,14.28,0.42,6.48,92.53,-0.37
6,"(25, 20, 5)",2,139,80,38,21,10,12.94,0.4,7.13,92.26,-0.23
6,"(25, 20, 5)",2,139,80,34,16,10,12.44,0.39,7.28,90.56,-0.23
6,"(25, 20, 5)",2,139,80,34,31,10,12.42,0.39,6.99,86.82,-0.25
6,"(25, 20, 5)",2,139,80,34,15,10,12.07,0.39,7.19,86.78,-0.26
6,"(25, 20, 3)",2,139,80,34,16,10,13.52,0.41,6.41,86.66,-0.37
6,"(25, 20, 5)",2,139,80,35,21,10,12.35,0.39,6.99,86.33,-0.23
6,"(25, 20, 3)",1,139,80,34,16,10,13.43,0.41,6.39,85.82,-0.37
6,"(25, 20, 5)",1,139,80,34,21,10,12.27,0.39,6.98,85.64,-0.23
6,"(25, 20, 1)",1,139,80,34,16,10,18.35,0.46,4.63,84.96,-0.61
6,"(25, 20, 5)",2,139,80,34,27,10,12.13,0.39,7.0,84.91,-0.25
6,"(25, 20, 5)",2,139,80,34,17,10,12.21,0.39,6.95,84.86,-0.23
6,"(25, 20, 5)",2,139,80,41,21,10,12.0,0.39,7.01,84.12,-0.24
6,"(25, 20, 5)",2,139,80,32,21,10,12.06,0.39,6.97,84.06,-0.25
6,"(25, 20, 4)",2,139,80,34,16,10,12.21,0.39,6.87,83.88,-0.28
6,"(25, 20, 5)",1,139,80,34,19,10,11.75,0.38,6.95,81.66,-0.23
6,"(25, 20, 5)",1,139,80,34,31,10,11.12,0.38,6.75,75.06,-0.25
6,"(25, 20, 5)",1,139,80,34,16,10,10.71,0.37,6.97,74.65,-0.23
6,"(25, 20, 5)",2,139,80,29,21,10,11.02,0.37,6.76,74.5,-0.24
6,"(25, 20, 5)",3,139,80,34,21,10,10.83,0.37,6.86,74.29,-0.23
6,"(25, 20, 5)",2,139,80,34,13,10,10.76,0.37,6.71,72.2,-0.23
6,"(25, 20, 5)",2,139,80,34,16,12,10.91,0.37,6.61,72.12,-0.32
6,"(25, 20, 5)",2,139,80,34,21,12,10.76,0.37,6.59,70.91,-0.32
6,"(25, 20, 5)",2,139,80,34,11,10,10.59,0.37,6.66,70.53,-0.23
6,"(25, 20, 4)",1,139,80,34,16,10,10.51,0.37,6.58,69.16,-0.28
6,"(25, 20, 5)",2,139,80,34,23,10,10.31,0.36,6.68,68.87,-0.25
6,"(25, 20, 5)",1,139,80,34,22,10,10.15,0.36,6.69,67.9,-0.25
6,"(25, 20, 5)",2,139,80,34,21,13,10.53,0.37,6.41,67.5,-0.32
6,"(25, 20, 5)",2,139,80,34,29,10,10.16,0.36,6.62,67.26,-0.25
6,"(25, 20, 5)",9,139,80,34,21,10,10.05,0.36,6.65,66.83,-0.23
6,"(25, 20, 5)",2,139,80,41,16,10,9.98,0.36,6.61,65.97,-0.25
6,"(25, 20, 5)",1,139,80,34,28,10,9.89,0.36,6.66,65.87,-0.25
6,"(25, 20, 5)",2,139,80,45,16,10,9.73,0.35,6.7,65.19,-0.27
6,"(25, 20, 5)",3,139,80,34,16,10,9.44,0.35,6.86,64.76,-0.23
6,"(25, 20, 5)",1,139,80,43,16,10,9.84,0.36,6.54,64.35,-0.24
6,"(25, 20, 5)",2,139,80,37,16,10,9.54,0.35,6.71,64.01,-0.25
6,"(25, 20, 5)",2,139,80,47,21,10,9.74,0.35,6.52,63.5,-0.31
6,"(25, 20, 5)",1,139,80,34,10,10,9.61,0.35,6.47,62.18,-0.23
6,"(25, 20, 7)",2,139,80,34,21,10,9.06,0.34,6.74,61.06,-0.25
6,"(25, 20, 5)",2,139,80,34,25,10,9.16,0.34,6.51,59.63,-0.25
6,"(25, 20, 5)",1,139,80,34,13,10,9.25,0.35,6.41,59.29,-0.23
6,"(25, 20, 6)",2,139,80,34,21,10,8.91,0.34,6.58,58.63,-0.27
6,"(25, 20, 5)",7,139,80,34,16,10,8.75,0.34,6.63,58.01,-0.23
6,"(25, 20, 5)",13,139,80,34,16,10,8.75,0.34,6.63,58.01,-0.23
6,"(25, 20, 5)",9,139,80,34,16,10,8.75,0.34,6.63,58.01,-0.23
6,"(25, 20, 5)",11,139,80,34,16,10,8.75,0.34,6.63,58.01,-0.23
6,"(25, 20, 5)",2,139,80,33,16,10,8.86,0.34,6.5,57.59,-0.25
6,"(25, 20, 8)",2,139,80,34,21,10,8.44,0.33,6.78,57.22,-0.24
6,"(25, 20, 5)",1,139,80,34,16,13,9.17,0.35,6.2,56.85,-0.32
6,"(25, 20, 5)",2,139,80,49,16,10,8.88,0.34,6.23,55.32,-0.32
6,"(25, 20, 5)",1,139,80,37,16,10,8.52,0.33,6.46,55.04,-0.25
6,"(25, 20, 2)",1,139,80,34,16,10,10.78,0.37,5.09,54.87,-0.48
6,"(25, 20, 5)",1,139,80,31,16,10,8.45,0.33,6.47,54.67,-0.24
6,"(25, 20, 5)",1,139,80,34,34,10,8.69,0.34,6.27,54.49,-0.23
6,"(25, 20, 2)",2,139,80,34,16,10,10.71,0.37,5.08,54.41,-0.48
6,"(25, 20, 1)",2,139,80,34,16,10,12.76,0.4,4.26,54.36,-0.61
6,"(25, 20, 2)",2,139,80,34,21,10,10.8,0.37,5.03,54.32,-0.48
6,"(25, 20, 5)",9,139,80,34,17,10,8.59,0.33,6.32,54.29,-0.23
6,"(25, 20, 7)",2,139,80,34,16,10,8.05,0.33,6.72,54.1,-0.25
6,"(25, 20, 5)",2,139,80,34,33,10,8.69,0.34,6.22,54.05,-0.23
6,"(25, 20, 6)",2,139,80,34,16,10,8.08,0.33,6.64,53.65,-0.27
6,"(25, 20, 5)",2,139,80,53,21,10,8.67,0.34,6.16,53.41,-0.25
6,"(25, 20, 5)",2,139,80,34,21,11,8.37,0.33,6.36,53.23,-0.24
6,"(25, 20, 5)",2,139,80,26,21,10,8.51,0.33,6.25,53.19,-0.23
6,"(25, 20, 5)",2,139,80,34,21,9,8.44,0.33,6.24,52.67,-0.3
6,"(25, 20, 5)",19,139,80,34,16,10,8.15,0.33,6.45,52.57,-0.23
6,"(25, 20, 5)",17,139,80,34,16,10,8.15,0.33,6.45,52.57,-0.23
6,"(25, 20, 5)",21,139,80,34,16,10,8.15,0.33,6.45,52.57,-0.23
6,"(25, 20, 5)",15,139,80,34,16,10,8.15,0.33,6.45,52.57,-0.23
6,"(25, 20, 3)",9,139,80,34,16,10,9.11,0.34,5.68,51.74,-0.42
6,"(25, 20, 5)",1,139,80,55,16,10,8.34,0.33,6.14,51.21,-0.31
6,"(25, 20, 5)",2,139,80,50,21,10,8.46,0.33,6.04,51.1,-0.32
6,"(25, 20, 8)",2,139,80,34,16,10,7.62,0.32,6.66,50.75,-0.24
6,"(25, 20, 5)",2,139,80,34,16,2,7.83,0.32,6.35,49.72,-0.26
6,"(25, 20, 5)",2,139,80,34,16,6,7.83,0.32,6.33,49.56,-0.22
6,"(25, 20, 5)",2,139,80,29,16,10,7.67,0.32,6.45,49.47,-0.24
6,"(25, 20, 5)",1,139,80,34,25,10,7.86,0.32,6.2,48.73,-0.25
6,"(25, 20, 5)",2,139,80,34,21,6,7.76,0.32,6.25,48.5,-0.22
6,"(25, 20, 9)",2,139,80,34,16,10,7.16,0.31,6.72,48.12,-0.24
6,"(25, 20, 5)",5,139,80,34,16,10,7.58,0.32,6.34,48.06,-0.23
6,"(25, 20, 5)",1,139,80,34,16,11,7.44,0.31,6.27,46.65,-0.24
6,"(25, 20, 5)",9,139,80,34,13,10,7.54,0.32,6.07,45.77,-0.27
6,"(25, 20, 5)",23,139,80,34,16,10,7.34,0.31,6.22,45.65,-0.23
6,"(25, 20, 5)",2,139,80,53,16,10,7.65,0.32,5.96,45.59,-0.25
6,"(25, 20, 5)",9,139,80,34,16,13,7.87,0.32,5.78,45.49,-0.4
6,"(25, 20, 5)",9,139,80,34,29,10,7.45,0.31,6.06,45.15,-0.27
6,"(25, 20, 7)",1,139,80,34,16,10,7.03,0.31,6.42,45.13,-0.25
6,"(25, 20, 5)",1,139,80,49,16,10,7.59,0.32,5.92,44.93,-0.32
6,"(25, 20, 6)",1,139,80,34,16,10,6.9,0.3,6.31,43.54,-0.27
6,"(25, 20, 5)",2,139,80,34,21,15,7.52,0.32,5.75,43.24,-0.34
6,"(25, 20, 5)",2,139,80,57,16,10,7.54,0.32,5.72,43.13,-0.27
6,"(25, 20, 5)",1,139,80,34,16,9,7.21,0.31,5.97,43.04,-0.3
6,"(25, 20, 5)",2,139,80,34,16,16,7.41,0.31,5.77,42.76,-0.36
6,"(25, 20, 8)",1,139,80,34,16,10,6.7,0.3,6.37,42.68,-0.24
6,"(25, 20, 5)",2,139,80,23,21,10,7.08,0.31,5.8,41.06,-0.31
6,"(25, 20, 5)",9,139,80,34,25,10,6.94,0.3,5.89,40.88,-0.25
6,"(25, 20, 5)",1,139,80,67,16,10,7.36,0.31,5.55,40.85,-0.31
6,"(25, 20, 5)",2,139,80,34,21,16,7.03,0.3,5.66,39.79,-0.36
6,"(25, 20, 9)",1,139,80,34,16,10,6.2,0.29,6.4,39.68,-0.24
6,"(25, 20, 5)",2,139,80,34,21,14,6.99,0.3,5.67,39.63,-0.34
6,"(25, 20, 5)",9,139,80,41,16,10,6.83,0.3,5.78,39.48,-0.37
6,"(25, 20, 10)",1,139,80,34,16,10,5.97,0.28,6.54,39.04,-0.2
6,"(25, 20, 5)",2,139,80,34,16,8,6.68,0.3,5.81,38.81,-0.31
6,"(25, 20, 5)",2,139,80,61,16,10,7.07,0.31,5.44,38.46,-0.35
6,"(25, 20, 5)",2,139,80,34,16,14,6.77,0.3,5.6,37.91,-0.34
6,"(25, 20, 5)",2,139,80,34,21,8,6.55,0.29,5.75,37.66,-0.31
6,"(25, 20, 11)",1,139,80,34,16,10,5.61,0.27,6.58,36.91,-0.17
6,"(25, 20, 7)",9,139,80,34,16,8,6.17,0.29,5.96,36.77,-0.28
