rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
8,"(25, 20, 3)",9,139,40,34,16,8,65.9,0.42,12.09,796.73,-0.26
4,"(25, 20, 3)",9,139,40,34,16,8,64.57,0.4,10.89,703.17,-0.24
3,"(25, 20, 3)",9,139,40,34,16,8,79.21,0.42,8.28,655.86,-0.31
13,"(25, 20, 3)",9,139,40,34,16,8,40.75,0.41,15.42,628.36,-0.1
5,"(25, 20, 3)",9,139,40,34,16,8,54.38,0.39,9.29,505.19,-0.28
10,"(25, 20, 3)",9,139,40,34,16,8,22.94,0.31,9.31,213.57,-0.42
6,"(25, 20, 3)",9,139,40,34,16,8,24.03,0.31,8.64,207.62,-0.3
9,"(25, 20, 3)",9,139,40,34,16,8,18.3,0.28,11.04,202.03,-0.29
11,"(25, 20, 3)",9,139,40,34,16,8,19.26,0.29,8.96,172.57,-0.49
1,"(25, 20, 3)",9,139,40,34,16,8,34.17,0.32,4.75,162.31,-0.31
2,"(25, 20, 3)",9,139,40,34,16,8,21.03,0.28,5.76,121.13,-0.36
7,"(25, 20, 3)",9,139,40,34,16,8,10.96,0.22,7.77,85.16,-0.44
12,"(25, 20, 3)",9,139,40,34,16,8,11.37,0.26,7.03,79.93,-0.11
