rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
13,"(25, 20, 9)",9,139,40,34,16,8,10.88,0.26,14.34,156.02,-0.08
8,"(25, 20, 9)",9,139,40,34,16,8,11.43,0.23,12.86,146.99,-0.19
5,"(25, 20, 9)",9,139,40,34,16,8,13.89,0.25,10.04,139.46,-0.15
3,"(25, 20, 9)",9,139,40,34,16,8,16.75,0.26,8.32,139.36,-0.2
4,"(25, 20, 9)",9,139,40,34,16,8,12.55,0.24,9.03,113.33,-0.18
10,"(25, 20, 9)",9,139,40,34,16,8,9.2,0.22,11.72,107.82,-0.23
9,"(25, 20, 9)",9,139,40,34,16,8,8.28,0.2,12.01,99.44,-0.06
6,"(25, 20, 9)",9,139,40,34,16,8,9.44,0.22,9.43,89.02,-0.21
1,"(25, 20, 9)",9,139,40,34,16,8,13.93,0.24,5.08,70.76,-0.27
7,"(25, 20, 9)",9,139,40,34,16,8,7.02,0.19,9.82,68.94,-0.26
2,"(25, 20, 9)",9,139,40,34,16,8,9.17,0.2,5.99,54.93,-0.28
11,"(25, 20, 9)",9,139,40,34,16,8,4.98,0.16,7.74,38.55,-0.55
12,"(25, 20, 9)",9,139,40,34,16,8,3.65,0.15,8.35,30.48,-0.23
