rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
4,"(25, 20, 10)",2,139,39,34,21,10,3.51,0.21,4.12,14.46,-0.29
4,"(25, 20, 10)",2,139,44,34,21,10,3.51,0.21,4.09,14.36,-0.3
4,"(25, 20, 10)",2,139,47,34,21,10,3.51,0.21,4.09,14.36,-0.3
4,"(25, 20, 10)",2,139,45,34,21,10,3.51,0.21,4.09,14.36,-0.3
4,"(25, 20, 10)",2,139,49,34,21,10,3.49,0.21,4.08,14.24,-0.3
4,"(25, 20, 10)",2,139,48,34,21,10,3.49,0.21,4.08,14.24,-0.3
4,"(25, 20, 10)",2,139,33,34,21,10,3.47,0.21,4.1,14.23,-0.27
4,"(25, 20, 10)",2,139,41,34,21,10,3.48,0.21,4.09,14.23,-0.3
4,"(25, 20, 10)",2,139,37,34,21,10,3.47,0.21,4.09,14.19,-0.29
4,"(25, 20, 10)",2,139,40,34,21,10,3.45,0.21,4.07,14.04,-0.3
4,"(25, 20, 10)",2,139,43,34,21,10,3.46,0.21,4.05,14.01,-0.31
4,"(25, 20, 10)",2,139,56,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,64,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,52,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,67,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,68,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,57,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,55,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,53,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,51,34,21,10,3.4,0.21,4.0,13.6,-0.32
4,"(25, 20, 10)",2,139,36,34,21,10,3.38,0.21,4.02,13.59,-0.29
4,"(25, 20, 10)",2,139,73,34,21,10,3.38,0.21,3.99,13.49,-0.32
4,"(25, 20, 10)",2,139,72,34,21,10,3.38,0.21,3.99,13.49,-0.32
4,"(25, 20, 10)",2,139,35,34,21,10,3.36,0.21,4.01,13.47,-0.29
4,"(25, 20, 10)",2,139,32,34,21,10,3.33,0.21,4.02,13.39,-0.28
4,"(25, 20, 10)",2,139,29,34,21,10,3.27,0.2,4.08,13.34,-0.26
4,"(25, 20, 10)",2,139,31,34,21,10,3.32,0.21,4.01,13.31,-0.28
4,"(25, 20, 10)",2,139,21,34,21,10,3.16,0.2,4.18,13.21,-0.24
4,"(25, 20, 10)",2,139,59,34,21,10,3.32,0.21,3.94,13.08,-0.33
4,"(25, 20, 10)",2,139,61,34,21,10,3.32,0.21,3.94,13.08,-0.33
4,"(25, 20, 10)",2,139,60,34,21,10,3.32,0.21,3.94,13.08,-0.33
4,"(25, 20, 10)",2,139,28,34,21,10,3.17,0.2,4.07,12.9,-0.26
4,"(25, 20, 10)",2,139,25,34,21,10,3.11,0.2,4.07,12.66,-0.25
4,"(25, 20, 10)",2,139,85,34,21,10,3.25,0.2,3.88,12.61,-0.34
4,"(25, 20, 10)",2,139,79,34,21,10,3.25,0.2,3.88,12.61,-0.34
4,"(25, 20, 10)",2,139,24,34,21,10,3.07,0.2,4.04,12.4,-0.25
4,"(25, 20, 10)",2,139,17,34,21,10,2.86,0.19,4.14,11.84,-0.21
4,"(25, 20, 10)",2,139,19,34,21,10,2.71,0.18,3.93,10.65,-0.22
4,"(25, 20, 10)",2,139,13,34,21,10,2.42,0.17,4.07,9.85,-0.2
4,"(25, 20, 10)",2,139,9,34,21,10,1.38,0.12,3.34,4.61,-0.19
4,"(25, 20, 10)",2,139,7,34,21,10,0.92,0.09,2.69,2.47,-0.2
4,"(25, 20, 10)",2,139,5,34,21,10,0.59,0.06,2.15,1.27,-0.19
4,"(25, 20, 10)",2,139,1,34,21,10,-0.18,-0.02,-1.3,0.23,-0.24
