rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd
1,"(25, 20, 2)",9,139,80,16,11,1,57.68,0.7,5.05,291.28,-0.47
1,"(25, 20, 4)",9,139,80,16,11,1,45.42,0.65,6.41,291.14,-0.39
1,"(25, 20, 3)",9,139,80,16,11,1,43.8,0.64,5.77,252.73,-0.37
1,"(25, 20, 6)",9,139,80,16,11,1,25.25,0.53,6.37,160.84,-0.29
1,"(25, 20, 5)",9,139,80,16,11,1,25.9,0.54,6.08,157.47,-0.33
1,"(25, 20, 5)",9,139,80,16,11,2,23.21,0.51,5.76,133.69,-0.43
1,"(25, 20, 7)",9,139,80,16,11,1,16.23,0.45,5.68,92.19,-0.37
1,"(25, 20, 10)",9,139,80,16,11,1,13.68,0.42,6.2,84.82,-0.3
1,"(25, 20, 9)",9,139,80,16,11,1,13.61,0.42,5.84,79.48,-0.32
1,"(25, 20, 11)",9,139,80,16,11,1,12.14,0.4,6.17,74.9,-0.27
1,"(25, 20, 8)",9,139,80,16,11,1,13.23,0.41,5.66,74.88,-0.35
1,"(25, 20, 1)",9,139,80,16,11,1,13.7,0.42,3.6,49.32,-0.66
