Ticker
AAL
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
AKAM
ALGN
AMAT
AMD
AMGN
AMLN
AMZN
ANSS
APOL
ASML
ATVI
AVGO
AZN
BBBY
BIDU
BIIB
BKNG
BKR
BMC
BMRN
CDNS
CDW
CERN
CHKP
CHRW
CHTR
CMCSA
CMCSK
COST
CPRT
CRWD
CSCO
CSGP
CSX
CTAS
CTRP
CTRX
CTSH
CTXS
DDOG
DISCA
DISCK
DISH
DLTR
DOCU
DXCM
EA
EBAY
ENDP
ENPH
EQIX
ERIC
ESRX
EXC
EXPD
EXPE
FANG
FAST
FFIV
FISV
FLEX
FLIR
FMCN
FOSL
FOX
FOXA
FSLR
FTNT
FWLT
GFS
GILD
GMCR
GOLD
GOOG
GOOGL
GRMN
HANS
HAS
HOLX
HON
HSIC
IACI
IDXX
ILMN
INCY
INTC
INTU
ISRG
JBHT
JD
KDP
KHC
KLAC
LAMR
LBTYA
LBTYK
LCID
LEAP
LIFE
LILA
LILAC
LMCA
LOGI
LRCX
LULU
LVLT
MAR
MAT
MCHP
MDLZ
MELI
META
MNST
MRNA
MRVL
MSFT
MTCH
MU
MXIM
MYL
NCLH
NFLX
NIHD
NLOK
NTAP
NTES
NUAN
NVDA
NXPI
ODFL
OKTA
ORLY
PANW
PAYX
PCAR
PDCO
PDD
PEP
PETM
PPDI
PTEN
PTON
PYPL
QCOM
QGEN
QRTEA
REGN
RIMM
RIVN
ROST
RYAAY
SBAC
SBUX
SEPR
SGEN
SHLD
SHPG
SIRI
SNDK
SNPS
SPLK
SPLS
SRCL
STLD
STX
SWKS
TCOM
TEAM
TMUS
TRIP
TSCO
TSLA
TTWO
TXN
UAL
ULTA
URBN
VIAB
VIP
VMED
VOD
VRSK
VRSN
VRTX
WBA
WBD
WCRX
WDAY
WDC
WFM
WFMI
WLTW
WYNN
XEL
XMSR
XRAY
ZM
ZS
