,Adj_Close
2010-04-30,0.0
2010-07-31,0.0
2010-10-31,0.0
2011-01-31,0.05153410946976256
2011-04-30,0.1839930239644969
2011-07-31,-0.019712117127846374
2011-10-31,-0.019812854013989245
2012-01-31,0.0032020021330330106
2012-04-30,0.1256132617090968
2012-07-31,0.015421914532862901
2012-10-31,0.0
2013-01-31,0.09372178766059602
2013-04-30,0.07530568980800267
2013-07-31,0.20748708572324603
2013-10-31,0.09260933072608668
2014-01-31,0.1276822926192156
2014-04-30,-0.06347517338668618
2014-07-31,0.11110919966691979
2014-10-31,0.0933263558811046
2015-01-31,0.058685996616536285
2015-04-30,0.10650808053028338
2015-07-31,0.1303077747813508
2015-10-31,-0.05414692532400778
2016-01-31,-0.1188566684875555
2016-04-30,0.0
2016-07-31,0.19266888405248594
2016-10-31,0.04677812678426685
2017-01-31,0.13422017287321064
2017-04-30,0.13479014176077486
2017-07-31,0.12207052015484154
2017-10-31,0.13016863374822085
2018-01-31,0.06957553977777198
2018-04-30,-0.03529360895274147
2018-07-31,0.09940072550540613
2018-10-31,-0.0809357210085031
2019-01-31,0.0
2019-04-30,0.0
2019-07-31,0.15823461324509447
2019-10-31,-0.03098211138096052
2020-01-31,0.15350769508187412
2020-04-30,0.05136824695464037
2020-07-31,0.5346841375013403
2020-10-31,0.11721872753098728
2021-01-31,0.4947253749577367
2021-04-30,-0.07505482649368811
2021-07-31,0.1437607779680734
2021-10-31,0.09030903280843772
2022-01-31,-0.16190738723292308
2022-04-30,0.0
2022-07-31,0.0
2022-10-31,0.0
