Date,open,high,low,close,adjclose,volume
2022-03-17 07:00:00+00:00,40805.69140625,40873.67578125,40742.9765625,40836.17578125,40836.17578125,108965888
2022-03-17 07:30:00+00:00,40831.83984375,40831.83984375,40662.87109375,40738.75390625,40738.75390625,157292544
2022-03-17 08:00:00+00:00,40744.140625,40857.01953125,40735.28125,40855.890625,40855.890625,28153856
2022-03-17 08:30:00+00:00,40858.12109375,40865.55078125,40812.47265625,40840.5703125,40840.5703125,28061696
2022-03-17 09:00:00+00:00,40836.1796875,40865.40234375,40785.5234375,40863.84765625,40863.84765625,51791872
2022-03-17 09:30:00+00:00,40864.42578125,40877.3359375,40799.578125,40799.578125,40799.578125,126662656
2022-03-17 10:00:00+00:00,40804.171875,40814.31640625,40663.30859375,40679.89453125,40679.89453125,43999232
2022-03-17 10:30:00+00:00,40683.58203125,40778.59375,40668.4453125,40726.73828125,40726.73828125,159336448
2022-03-17 11:00:00+00:00,40735.4296875,40800.91796875,40705.58984375,40726.22265625,40726.22265625,80873472
2022-03-17 11:30:00+00:00,40729.0078125,40754.5078125,40723.53125,40750.953125,40750.953125,2832384
2022-03-17 12:00:00+00:00,40750.640625,41146.01953125,40738.03125,41014.36328125,41014.36328125,681140224
2022-03-17 12:30:00+00:00,40978.47265625,41034.78515625,40958.40625,40974.98046875,40974.98046875,206899200
2022-03-17 13:00:00+00:00,40985.97265625,41072.421875,40985.97265625,41025.06640625,41025.06640625,51779584
2022-03-17 13:30:00+00:00,40984.04296875,41029.72265625,40934.5,41003.62890625,41003.62890625,259440640
2022-03-17 14:00:00+00:00,41044.890625,41102.23046875,41027.0546875,41028.453125,41028.453125,33341440
2022-03-17 14:30:00+00:00,41024.546875,41033.12109375,40847.6953125,40866.390625,40866.390625,0
2022-03-17 15:00:00+00:00,40858.17578125,40969.2578125,40846.66015625,40958.84375,40958.84375,156303360
2022-03-17 15:30:00+00:00,40957.10546875,41003.7265625,40838.390625,40861.69921875,40861.69921875,45137920
2022-03-17 16:00:00+00:00,40846.40625,40883.484375,40777.6328125,40857.8125,40857.8125,136245248
2022-03-17 16:30:00+00:00,40856.6875,40866.3125,40778.296875,40799.72265625,40799.72265625,10065920
2022-03-17 17:00:00+00:00,40807.44140625,40807.44140625,40672.8828125,40758.01953125,40758.01953125,110524416
2022-03-17 17:30:00+00:00,40763.99609375,40826.68359375,40728.125,40824.4453125,40824.4453125,148588544
2022-03-17 18:00:00+00:00,40796.74609375,40846.71875,40794.6484375,40824.984375,40824.984375,0
