Date,AAPL,AMD,NVDA,MSFT,HPQ,FB,GOOG,NFLX
2018-01-31,39.92369079589844,13.739999771118164,60.87651443481445,90.12434387207031,20.524564743041992,186.88999938964844,1169.93994140625,270.29998779296875
2018-02-01,40.007144927978516,13.25,59.563880920410156,89.41291046142578,20.506959915161133,193.08999633789062,1167.699951171875,265.07000732421875
2018-02-02,38.27123260498047,12.449999809265137,57.835166931152344,87.06043243408203,19.785255432128906,190.27999877929688,1111.9000244140625,267.42999267578125
2018-02-05,37.31505584716797,11.569999694824219,52.92641067504883,83.47480773925781,18.737911224365234,181.25999450683594,1055.800048828125,254.25999450683594
2018-02-06,38.874515533447266,11.649999618530273,55.86869430541992,86.63357543945312,18.861125946044922,185.30999755859375,1080.5999755859375,265.7200012207031
2018-02-07,38.04232406616211,11.600000381469727,56.66618728637695,85.00202178955078,18.667497634887695,180.17999267578125,1048.5799560546875,264.55999755859375
2018-02-08,36.995521545410156,11.220000267028809,53.87249755859375,80.6385726928711,17.532135009765625,171.5800018310547,1001.52001953125,250.10000610351562
2018-02-09,37.448028564453125,11.3100004196167,57.4785270690918,83.64557647705078,17.699357986450195,176.11000061035156,1037.780029296875,249.47000122070312
2018-02-12,38.956390380859375,11.680000305175781,56.47547149658203,84.54671478271484,17.963396072387695,176.41000366210938,1051.93994140625,257.95001220703125
2018-02-13,39.346649169921875,11.779999732971191,57.61475372314453,85.21072387695312,18.113018035888672,173.14999389648438,1052.0999755859375,258.2699890136719
2018-02-14,40.07210922241211,12.199999809265137,59.79173278808594,86.54496002197266,18.737911224365234,179.52000427246094,1069.699951171875,266.0
2018-02-15,41.41765594482422,12.1899995803833,61.04987716674805,88.3080825805664,18.878726959228516,179.9600067138672,1089.52001953125,280.2699890136719
2018-02-16,41.283573150634766,11.819999694824219,60.39108657836914,87.6790771484375,18.8347225189209,177.36000061035156,1094.800048828125,278.5199890136719
2018-02-20,41.144718170166016,12.020000457763672,61.68886947631836,88.36527252197266,18.8259220123291,176.00999450683594,1102.4599609375,278.54998779296875
2018-02-21,40.95796585083008,11.720000267028809,59.814022064208984,87.19302368164062,18.632293701171875,177.91000366210938,1111.3399658203125,281.0400085449219
2018-02-22,41.30033493041992,11.84000015258789,60.00979995727539,87.42176055908203,18.8259220123291,178.99000549316406,1106.6300048828125,278.1400146484375
2018-02-23,42.018592834472656,12.069999694824219,60.946563720703125,89.6423110961914,19.477210998535156,183.2899932861328,1126.7900390625,285.92999267578125
2018-02-26,42.849395751953125,12.420000076293945,61.1076545715332,90.93843841552734,20.647785186767578,184.92999267578125,1143.75,294.1600036621094
2018-02-27,42.71053695678711,12.529999732971191,60.97877502441406,89.7757339477539,20.700592041015625,181.4600067138672,1118.2900390625,290.6099853515625
2018-02-28,42.645896911621094,12.109999656677246,59.972625732421875,89.36593627929688,20.58617401123047,178.32000732421875,1104.72998046875,291.3800048828125
2018-03-01,41.898895263671875,11.899999618530273,57.54646301269531,88.48914337158203,20.550966262817383,175.94000244140625,1069.52001953125,290.3900146484375
2018-03-02,42.18859100341797,11.8100004196167,58.61952209472656,88.67973327636719,20.744600296020508,176.6199951171875,1078.9200439453125,301.04998779296875
2018-03-05,42.33463668823242,11.90999984741211,58.398963928222656,89.24203491210938,20.850210189819336,180.39999389648438,1090.9300537109375,315.0
2018-03-06,42.298728942871094,11.760000228881836,60.01228713989258,88.93707275390625,21.07904624938965,179.77999877929688,1095.06005859375,325.2200012207031
2018-03-07,41.90607452392578,12.239999771118164,59.9329719543457,89.45170593261719,21.15825653076172,183.7100067138672,1109.6400146484375,321.1600036621094
2018-03-08,42.36337661743164,11.970000267028809,59.76942443847656,89.99493408203125,21.07904624938965,182.33999633789062,1126.0,317.0
2018-03-09,43.09121322631836,11.699999809265137,60.79787063598633,92.00585174560547,21.69513702392578,185.22999572753906,1160.0400390625,331.44000244140625
2018-03-12,43.5078010559082,11.520000457763672,61.895721435546875,92.22503662109375,20.97342872619629,184.75999450683594,1164.5,321.29998779296875
2018-03-13,43.08882522583008,11.640000343322754,61.387691497802734,89.97589111328125,20.91057777404785,181.8800048828125,1138.1700439453125,315.8800048828125
2018-03-14,42.72249984741211,11.359999656677246,61.64293670654297,89.44219207763672,20.78663444519043,184.19000244140625,1149.489990234375,321.54998779296875
2018-03-15,42.77278518676758,11.460000038146973,61.79163360595703,89.7566909790039,20.78663444519043,183.86000061035156,1149.5799560546875,321.0899963378906
2018-03-16,42.6219482421875,11.470000267028809,62.07415008544922,90.1569595336914,20.813196182250977,185.08999633789062,1135.72998046875,318.45001220703125
2018-03-19,41.97071838378906,11.430000305175781,59.72480773925781,88.52727508544922,20.53875160217285,172.55999755859375,1099.8199462890625,313.4800109863281
2018-03-20,41.956356048583984,11.109999656677246,61.85110855102539,88.75598907470703,20.609575271606445,168.14999389648438,1097.7099609375,317.5
2018-03-21,41.00584030151367,11.260000228881836,61.59832763671875,88.13652801513672,20.609575271606445,169.38999938964844,1090.8800048828125,316.4800109863281
2018-03-22,40.426448822021484,10.90999984741211,59.935462951660156,85.5728759765625,19.892492294311523,164.88999938964844,1049.0799560546875,306.70001220703125
2018-03-23,39.490299224853516,10.630000114440918,57.73480987548828,83.08544158935547,19.343608856201172,159.38999938964844,1021.5700073242188,300.94000244140625
2018-03-26,41.36497497558594,10.4399995803833,60.58721923828125,89.37547302246094,19.653459548950195,160.05999755859375,1053.2099609375,320.3500061035156
2018-03-27,40.30433654785156,10.0,55.8885383605957,85.26788330078125,19.27278709411621,152.22000122070312,1005.0999755859375,300.69000244140625
