Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-03-01,0.4709379971027374,0.5941150188446045,0.4709379971027374,0.5793750286102295,0.5779271721839905,561600000.0,0.0,0.0
2010-04-01,0.5858330130577087,0.6711980104446411,0.5652599930763245,0.614687979221344,0.613152027130127,899980800.0,0.0,0.0
2010-05-01,0.621874988079071,0.649062991142273,0.35416701436042786,0.4742189943790436,0.47303399443626404,1723737600.0,0.0,0.0
2010-06-01,0.46921899914741516,0.5364580154418945,0.3815099895000458,0.38468798995018005,0.38372671604156494,2168832000.0,0.0,0.0
2010-07-01,0.38682299852371216,0.49614599347114563,0.3586460053920746,0.4685420095920563,0.4673711955547333,1507891200.0,0.0,0.0
2010-08-01,0.48588499426841736,0.5104169845581055,0.3822920024394989,0.397707998752594,0.3967141807079315,1259289600.0,0.0,0.0
2010-09-01,0.4130209982395172,0.5961459875106812,0.412447988986969,0.5692710280418396,0.5678484439849854,1126905600.0,0.0,0.0
2010-10-01,0.5826039910316467,0.6916149854660034,0.5389580130577087,0.6805729866027832,0.6788723468780518,974150400.0,0.0,0.0
2010-11-01,0.6875,0.7541149854660034,0.641510009765625,0.6708329916000366,0.6691567301750183,1347801600.0,0.0,0.0
2010-12-01,0.7016149759292603,0.7908849716186523,0.7005209922790527,0.7702080011367798,0.7682833075523376,975206400.0,0.0,0.0
2011-01-01,0.790677011013031,0.8940100073814392,0.7883849740028381,0.8318750262260437,0.8297963738441467,1278796800.0,0.0,0.0
2011-02-01,0.8510419726371765,0.9720309972763062,0.8326039910316467,0.9079170227050781,0.9056482911109924,1323033600.0,0.0,0.0
2011-02-25,,,,,,,0.0,2.0
2011-03-01,0.9201040267944336,0.933542013168335,0.7265629768371582,0.8865630030632019,0.8843476176261902,1331020800.0,0.0,0.0
2011-04-01,0.8992710113525391,0.9711459875106812,0.7900000214576721,0.9626039862632751,0.9601985812187195,746112000.0,0.0,0.0
2011-05-01,0.9667710065841675,0.9729170203208923,0.8360419869422913,0.9211459755897522,0.9188441634178162,650995200.0,0.0,0.0
2011-06-01,0.9151039719581604,0.9209380149841309,0.7105209827423096,0.8565629720687866,0.8544226288795471,794803200.0,0.0,0.0
2011-07-01,0.859375,0.9839580059051514,0.8464580178260803,0.894478976726532,0.8922438621520996,1106822400.0,0.0,0.0
2011-08-01,0.9268749952316284,0.9316669702529907,0.543749988079071,0.7196879982948303,0.7178896069526672,2874220800.0,0.0,0.0
2011-09-01,0.7243750095367432,0.809270977973938,0.6000000238418579,0.6166669726371765,0.6151260137557983,2520614400.0,0.0,0.0
2011-10-01,0.599166989326477,0.8645830154418945,0.5338540077209473,0.8111460208892822,0.8091191649436951,3416140800.0,0.0,0.0
2011-11-01,0.7526040077209473,0.850832998752594,0.606249988079071,0.7288540005683899,0.7270326614379883,2552467200.0,0.0,0.0
2011-12-01,0.7296879887580872,0.7777079939842224,0.6497920155525208,0.7082290053367615,0.7064592838287354,2204784000.0,0.0,0.0
2012-01-01,0.7481250166893005,0.9134380221366882,0.7354170083999634,0.8984379768371582,0.8961929678916931,1617552000.0,0.0,0.0
2012-02-01,0.9138540029525757,1.1072920560836792,0.9052079916000366,1.0793750286102295,1.076677918434143,1823856000.0,0.0,0.0
2012-03-01,1.0919790267944336,1.300104022026062,1.0202080011367798,1.246250033378601,1.243135929107666,1989782400.0,0.0,0.0
2012-04-01,1.242812991142273,1.3017710447311401,1.0761460065841675,1.1926039457321167,1.1896238327026367,1637308800.0,0.0,0.0
2012-05-01,1.1860419511795044,1.2384380102157593,0.8943750262260437,0.9487500190734863,0.9463792443275452,1970870400.0,0.0,0.0
2012-06-01,0.8995829820632935,1.068958044052124,0.8581249713897705,1.0416669845581055,1.0390640497207642,1752854400.0,0.0,0.0
2012-07-01,1.0447920560836792,1.0945830345153809,0.9314579963684082,1.0654170513153076,1.0627548694610596,1833974400.0,0.0,0.0
2012-08-01,1.087499976158142,1.2756249904632568,1.021041989326477,1.236875057220459,1.2337843179702759,1355400000.0,0.0,0.0
2012-09-01,1.2293750047683716,1.3760420083999634,1.1947920322418213,1.2633329629898071,1.2601760625839233,1519612800.0,0.0,0.0
2012-10-01,1.28125,1.3291670083999634,1.0512499809265137,1.0658329725265503,1.0631697177886963,1785105600.0,0.0,0.0
