rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd,stats_file
1,"(25, 20, 5)",9,139,80,38,16,9,77.78,0.77,6.93,539.02,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",6,139,80,34,16,8,75.82,0.76,7.07,536.05,-0.45,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",5,139,80,34,16,8,75.82,0.76,7.07,536.05,-0.45,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",4,139,80,34,16,8,75.82,0.76,7.07,536.05,-0.45,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",9,139,80,34,16,11,73.42,0.75,7.13,523.48,-0.44,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,34,16,10,72.93,0.75,6.97,508.32,-0.47,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,37,16,8,72.15,0.75,7.02,506.49,-0.45,M_nasdaq100_stats_2023.06.02.184410.csv
5,"(25, 20, 3)",9,139,40,34,16,8,54.38,0.39,9.29,505.19,-0.28,M_nasdaq100_stats_2023.06.04.143238.csv
1,"(25, 20, 5)",1,139,80,34,16,8,71.11,0.75,6.96,494.93,-0.45,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",2,139,80,34,16,8,71.11,0.75,6.96,494.93,-0.45,M_nasdaq100_stats_2023.06.02.192101.csv
3,"(25, 20, 3)",9,139,55,34,16,8,61.84,0.39,7.97,492.86,-0.26,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 5)",9,139,80,37,16,9,71.51,0.75,6.84,489.13,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
3,"(25, 20, 3)",9,139,93,34,16,8,61.0,0.39,7.93,483.73,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,91,34,16,8,61.0,0.39,7.93,483.73,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 5)",9,139,80,23,16,9,69.86,0.74,6.84,477.84,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 6)",9,139,80,34,16,8,65.17,0.73,7.13,464.66,-0.43,M_nasdaq100_stats_2023.06.02.190501.csv
1,"(25, 20, 6)",9,139,80,34,16,8,65.17,0.73,7.13,464.66,-0.43,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",9,139,80,16,16,9,67.11,0.73,6.79,455.68,-0.46,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,16,16,9,67.11,0.73,6.79,455.68,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,16,16,9,67.11,0.73,6.79,455.68,-0.46,M_nasdaq100_stats_2023.06.02.175229.csv
1,"(25, 20, 5)",9,139,80,19,16,9,66.14,0.73,6.77,447.77,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,37,16,10,65.33,0.73,6.83,446.2,-0.47,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,22,16,9,65.23,0.73,6.75,440.3,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
3,"(25, 20, 3)",9,139,64,34,16,8,56.46,0.38,7.79,439.82,-0.28,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 5)",9,139,80,35,16,9,65.21,0.73,6.74,439.52,-0.48,M_nasdaq100_stats_2023.06.02.184410.csv
3,"(25, 20, 3)",9,139,61,34,16,8,55.79,0.38,7.76,432.93,-0.28,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,60,34,16,8,55.79,0.38,7.76,432.93,-0.28,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 5)",9,139,80,37,16,11,62.39,0.72,6.86,428.0,-0.44,M_nasdaq100_stats_2023.06.02.184410.csv
3,"(25, 20, 3)",9,139,71,34,16,8,55.15,0.38,7.74,426.86,-0.3,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 5)",9,139,80,16,16,8,62.13,0.72,6.79,421.86,-0.44,M_nasdaq100_stats_2023.06.02.175229.csv
1,"(25, 20, 5)",9,139,80,16,16,8,62.13,0.72,6.79,421.86,-0.44,M_nasdaq100_stats_2023.06.02.180004.csv
3,"(25, 20, 3)",9,139,73,34,16,8,54.51,0.38,7.72,420.82,-0.3,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,46,34,16,8,52.33,0.37,7.98,417.59,-0.31,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 5)",9,139,80,33,16,9,61.55,0.71,6.68,411.15,-0.47,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,34,16,7,58.01,0.7,6.88,399.11,-0.52,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 7)",9,139,80,34,16,8,55.42,0.69,7.19,398.47,-0.46,M_nasdaq100_stats_2023.06.02.190501.csv
1,"(25, 20, 7)",9,139,80,34,16,8,55.42,0.69,7.19,398.47,-0.46,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",9,139,80,26,16,9,59.61,0.71,6.65,396.41,-0.48,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",12,139,80,34,16,8,57.6,0.7,6.84,393.98,-0.45,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",9,139,80,16,16,10,58.34,0.7,6.75,393.8,-0.46,M_nasdaq100_stats_2023.06.02.175229.csv
1,"(25, 20, 5)",9,139,80,16,16,10,58.34,0.7,6.75,393.8,-0.46,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,16,15,9,58.59,0.7,6.54,383.18,-0.48,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,30,16,9,56.51,0.7,6.7,378.62,-0.48,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,32,16,9,57.36,0.7,6.6,378.58,-0.48,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,16,9,9,56.01,0.69,6.54,366.31,-0.46,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,20,16,9,56.25,0.69,6.49,365.06,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,42,16,9,55.92,0.69,6.49,362.92,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,43,16,9,54.51,0.69,6.62,360.86,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,16,11,10,53.95,0.69,6.64,358.23,-0.44,M_nasdaq100_stats_2023.06.02.174435.csv
1,"(25, 20, 5)",9,139,80,16,11,10,53.95,0.69,6.64,358.23,-0.44,M_nasdaq100_stats_2023.06.02.170434.csv
1,"(25, 20, 5)",9,139,80,16,11,10,53.95,0.69,6.64,358.23,-0.44,M_nasdaq100_stats_2023.06.02.125408.csv
3,"(25, 20, 3)",9,139,81,34,16,8,47.69,0.36,7.45,355.29,-0.32,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,82,34,16,8,47.69,0.36,7.45,355.29,-0.32,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 5)",9,139,80,16,11,9,54.59,0.69,6.45,352.11,-0.46,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,16,11,9,54.59,0.69,6.45,352.11,-0.46,M_nasdaq100_stats_2023.06.02.174435.csv
1,"(25, 20, 5)",9,139,80,16,14,9,53.98,0.69,6.52,351.95,-0.46,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,44,16,9,53.27,0.68,6.6,351.58,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,16,13,9,54.15,0.69,6.49,351.43,-0.46,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",13,139,80,34,16,8,52.4,0.68,6.7,351.08,-0.45,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",9,139,80,16,10,9,54.03,0.69,6.47,349.57,-0.46,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,21,16,9,53.9,0.69,6.48,349.27,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,47,16,9,52.14,0.68,6.6,344.12,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,29,16,9,53.35,0.68,6.45,344.11,-0.48,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,41,16,9,52.97,0.68,6.45,341.66,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,16,16,11,52.14,0.68,6.53,340.47,-0.45,M_nasdaq100_stats_2023.06.02.175229.csv
1,"(25, 20, 5)",9,139,80,16,16,11,52.14,0.68,6.53,340.47,-0.45,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,16,16,11,52.14,0.68,6.53,340.47,-0.45,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,37,16,7,51.97,0.68,6.55,340.4,-0.52,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,18,16,9,52.87,0.68,6.42,339.43,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,31,16,9,52.16,0.68,6.5,339.04,-0.48,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,16,16,7,50.31,0.67,6.68,336.07,-0.5,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,16,16,7,50.31,0.67,6.68,336.07,-0.5,M_nasdaq100_stats_2023.06.02.175229.csv
1,"(25, 20, 5)",9,139,80,16,16,7,50.31,0.67,6.68,336.07,-0.5,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",15,139,80,34,16,8,48.76,0.66,6.58,320.84,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",14,139,80,34,16,8,48.76,0.66,6.58,320.84,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
